source_row_id,subscriber_id,plan_id,home_site_id,segment,region,activation_date,status,updated_at
subscribers-000025,SU-00025,PL-001,ST-0025,consumer,central,2026-01-25,active,2026-01-01T06:48:00Z
subscribers-000026,SU-00026,PL-002,ST-0026,family,central,2026-01-26,active,2026-01-01T07:05:00Z
subscribers-000027,SU-00027,PL-003,ST-0027,business,north,2026-01-27,active,2026-01-01T07:22:00Z
subscribers-000028,SU-00028,PL-004,ST-0028,business,coastal,2026-01-28,active,2026-01-01T07:39:00Z
subscribers-000029,SU-00029,PL-005,ST-0029,consumer,central,2026-01-29,active,2026-01-01T07:56:00Z
subscribers-000030,SU-00030,PL-006,ST-0030,business,coastal,2026-01-30,active,2026-01-01T08:13:00Z
subscribers-000031,SU-00031,PL-007,ST-0001,consumer,coastal,2026-01-31,active,2026-01-01T08:30:00Z
subscribers-000032,SU-00032,PL-008,ST-0002,family,south,2026-01-01,active,2026-01-01T08:47:00Z
subscribers-000033,SU-00033,PL-009,ST-0003,consumer,central,2026-01-02,active,2026-01-01T09:04:00Z
subscribers-000034,SU-00034,PL-010,ST-0004,consumer,coastal,2026-01-03,active,2026-01-01T09:21:00Z
subscribers-000035,SU-00035,PL-011,ST-0005,family,south,2026-01-04,active,2026-01-01T09:38:00Z
subscribers-000036,SU-00036,PL-012,ST-0006,business,coastal,2026-01-05,active,2026-01-01T09:55:00Z
subscribers-000037,SU-00037,PL-001,ST-0007,family,central,2026-01-06,active,2026-01-01T10:12:00Z
subscribers-000038,SU-00038,PL-002,ST-0008,family,south,2026-01-07,active,2026-01-01T10:29:00Z
subscribers-000039,SU-00039,PL-003,ST-0009,consumer,south,2026-01-08,active,2026-01-01T10:46:00Z
subscribers-000040,SU-00040,PL-004,ST-0010,family,central,2026-01-09,active,2026-01-01T11:03:00Z
subscribers-000041,SU-00041,PL-005,ST-0011,family,coastal,2026-01-10,active,2026-01-01T11:20:00Z
subscribers-000042,SU-00042,PL-006,ST-0012,consumer,coastal,2026-01-11,active,2026-01-01T11:37:00Z
subscribers-000043,SU-00043,PL-007,ST-0013,family,coastal,2026-01-12,active,2026-01-01T11:54:00Z
subscribers-000044,SU-00044,PL-008,ST-0014,consumer,south,2026-01-13,active,2026-01-01T12:11:00Z
subscribers-000045,SU-00045,PL-009,ST-0015,consumer,central,2026-01-14,active,2026-01-01T12:28:00Z
subscribers-000046,SU-00046,PL-010,ST-0016,consumer,north,2026-01-15,active,2026-01-01T12:45:00Z
subscribers-000047,SU-00047,PL-011,ST-0017,business,coastal,2026-01-16,active,2026-01-01T13:02:00Z
subscribers-000048,SU-00048,PL-012,ST-0018,family,north,2026-01-17,active,2026-01-01T13:19:00Z
subscribers-000049,SU-00049,PL-001,ST-0019,consumer,north,2026-01-18,active,2026-01-01T13:36:00Z
subscribers-000050,SU-00050,PL-002,ST-0020,consumer,north,2026-01-19,active,2026-01-01T13:53:00Z
subscribers-000051,SU-00051,PL-003,ST-0021,family,central,2026-01-20,active,2026-01-01T14:10:00Z
subscribers-000052,SU-00052,PL-004,ST-0022,business,coastal,2026-01-21,active,2026-01-01T14:27:00Z
subscribers-000053,SU-00053,PL-005,ST-0023,business,south,2026-01-22,active,2026-01-01T14:44:00Z
subscribers-000054,SU-00054,PL-006,ST-0024,business,north,2026-01-23,active,2026-01-01T15:01:00Z
subscribers-000055,SU-00055,PL-007,ST-0025,business,south,2026-01-24,active,2026-01-01T15:18:00Z
subscribers-000056,SU-00056,PL-008,ST-0026,consumer,north,2026-01-25,active,2026-01-01T15:35:00Z
subscribers-000057,SU-00057,PL-009,ST-0027,business,central,2026-01-26,active,2026-01-01T15:52:00Z
subscribers-000058,SU-00058,PL-010,ST-0028,consumer,central,2026-01-27,active,2026-01-01T16:09:00Z
subscribers-000059,SU-00059,PL-011,ST-0029,business,south,2026-01-28,active,2026-01-01T16:26:00Z
subscribers-000060,SU-00060,PL-012,ST-0030,consumer,coastal,2026-01-29,active,2026-01-01T16:43:00Z
subscribers-000061,SU-00061,PL-001,ST-0001,business,north,2026-01-30,active,2026-01-01T17:00:00Z
subscribers-000062,SU-00062,PL-002,ST-0002,consumer,central,2026-01-31,active,2026-01-01T17:17:00Z
subscribers-000063,SU-00063,PL-003,ST-0003,family,coastal,2026-01-01,active,2026-01-01T17:34:00Z
subscribers-000064,SU-00064,PL-004,ST-0004,business,coastal,2026-01-02,active,2026-01-01T17:51:00Z
subscribers-000065,SU-00065,PL-005,ST-0005,business,north,2026-01-03,active,2026-01-01T18:08:00Z
subscribers-000066,SU-00066,PL-006,ST-0006,family,north,2026-01-04,active,2026-01-01T18:25:00Z
subscribers-000067,SU-00067,PL-007,ST-0007,business,north,2026-01-05,active,2026-01-01T18:42:00Z
subscribers-000068,SU-00068,PL-008,ST-0008,consumer,south,2026-01-06,active,2026-01-01T18:59:00Z
subscribers-000069,SU-00069,PL-009,ST-0009,business,coastal,2026-01-07,active,2026-01-01T19:16:00Z
subscribers-000070,SU-00070,PL-010,ST-0010,business,south,2026-01-08,active,2026-01-01T19:33:00Z
subscribers-000071,SU-00071,PL-011,ST-0011,business,coastal,2026-01-09,active,2026-01-01T19:50:00Z
subscribers-000072,SU-00072,PL-012,ST-0012,consumer,south,2026-01-10,active,2026-01-01T20:07:00Z
subscribers-000073,SU-00073,PL-001,ST-0013,family,south,2026-01-11,active,2026-01-01T20:24:00Z
subscribers-000074,SU-00074,PL-002,ST-0014,consumer,coastal,2026-01-12,active,2026-01-01T20:41:00Z
subscribers-000075,SU-00075,PL-003,ST-0015,business,coastal,2026-01-13,active,2026-01-01T20:58:00Z
subscribers-000076,SU-00076,PL-004,ST-0016,family,central,2026-01-14,active,2026-01-01T21:15:00Z
subscribers-000077,SU-00077,PL-005,ST-0017,consumer,north,2026-01-15,active,2026-01-01T21:32:00Z
subscribers-000078,SU-00078,PL-006,ST-0018,consumer,north,2026-01-16,active,2026-01-01T21:49:00Z
subscribers-000079,SU-00079,PL-007,ST-0019,consumer,central,2026-01-17,active,2026-01-01T22:06:00Z
subscribers-000080,SU-00080,PL-008,ST-0020,consumer,central,2026-01-18,active,2026-01-01T22:23:00Z
subscribers-000081,SU-00081,PL-009,ST-0021,business,coastal,2026-01-19,active,2026-01-01T22:40:00Z
subscribers-000082,SU-00082,PL-010,ST-0022,family,coastal,2026-01-20,active,2026-01-01T22:57:00Z
subscribers-000083,SU-00083,PL-011,ST-0023,consumer,south,2026-01-21,active,2026-01-01T23:14:00Z
subscribers-000084,SU-00084,PL-012,ST-0024,business,central,2026-01-22,active,2026-01-01T23:31:00Z
subscribers-000085,SU-00085,PL-001,ST-0025,consumer,north,2026-01-23,active,2026-01-01T23:48:00Z
subscribers-000086,SU-00086,PL-002,ST-0026,consumer,north,2026-01-24,active,2026-01-02T00:05:00Z
subscribers-000087,SU-00087,PL-003,ST-0027,consumer,north,2026-01-25,active,2026-01-02T00:22:00Z
subscribers-000088,SU-00088,PL-004,ST-0028,family,coastal,2026-01-26,active,2026-01-02T00:39:00Z
subscribers-000089,SU-00089,PL-005,ST-0029,business,south,2026-01-27,active,2026-01-02T00:56:00Z
subscribers-000090,SU-00090,PL-006,ST-0030,business,central,2026-01-28,active,2026-01-02T01:13:00Z
subscribers-000091,SU-00091,PL-007,ST-0001,business,north,2026-01-29,active,2026-01-02T01:30:00Z
subscribers-000092,SU-00092,PL-008,ST-0002,family,coastal,2026-01-30,active,2026-01-02T01:47:00Z
subscribers-000093,SU-00093,PL-009,ST-0003,consumer,coastal,2026-01-31,active,2026-01-02T02:04:00Z
subscribers-000094,SU-00094,PL-010,ST-0004,consumer,south,2026-01-01,active,2026-01-02T02:21:00Z
subscribers-000095,SU-00095,PL-011,ST-0005,family,north,2026-01-02,active,2026-01-02T02:38:00Z
subscribers-000096,SU-00096,PL-012,ST-0006,family,central,2026-01-03,active,2026-01-02T02:55:00Z
subscribers-000097,SU-00097,PL-001,ST-0007,family,south,2026-01-04,active,2026-01-02T03:12:00Z
subscribers-000098,SU-00098,PL-002,ST-0008,business,south,2026-01-05,active,2026-01-02T03:29:00Z
subscribers-000099,SU-00099,PL-003,ST-0009,consumer,south,2026-01-06,active,2026-01-02T03:46:00Z
subscribers-000100,SU-00100,PL-004,ST-0010,business,south,2026-01-07,active,2026-01-02T04:03:00Z
subscribers-000101,SU-00101,PL-005,ST-0011,consumer,coastal,2026-01-08,active,2026-01-02T04:20:00Z
subscribers-000102,SU-00102,PL-006,ST-0012,business,south,2026-01-09,active,2026-01-02T04:37:00Z
subscribers-000103,SU-00103,PL-007,ST-0013,consumer,north,2026-01-10,active,2026-01-02T04:54:00Z
subscribers-000104,SU-00104,PL-008,ST-0014,business,coastal,2026-01-11,active,2026-01-02T05:11:00Z
subscribers-000105,SU-00105,PL-009,ST-0015,business,central,2026-01-12,active,2026-01-02T05:28:00Z
subscribers-000106,SU-00106,PL-010,ST-0016,family,south,2026-01-13,active,2026-01-02T05:45:00Z
subscribers-000107,SU-00107,PL-011,ST-0017,business,coastal,2026-01-14,active,2026-01-02T06:02:00Z
subscribers-000108,SU-00108,PL-012,ST-0018,family,south,2026-01-15,active,2026-01-02T06:19:00Z
subscribers-000109,SU-00109,PL-001,ST-0019,consumer,coastal,2026-01-16,active,2026-01-02T06:36:00Z
subscribers-000110,SU-00110,PL-002,ST-0020,family,coastal,2026-01-17,active,2026-01-02T06:53:00Z
subscribers-000111,SU-00111,PL-003,ST-0021,consumer,north,2026-01-18,active,2026-01-02T07:10:00Z
subscribers-000112,SU-00112,PL-004,ST-0022,consumer,central,2026-01-19,active,2026-01-02T07:27:00Z
subscribers-000113,SU-00113,PL-005,ST-0023,family,north,2026-01-20,active,2026-01-02T07:44:00Z
subscribers-000114,SU-00114,PL-006,ST-0024,business,central,2026-01-21,active,2026-01-02T08:01:00Z
subscribers-000115,SU-00115,PL-007,ST-0025,business,coastal,2026-01-22,active,2026-01-02T08:18:00Z
subscribers-000116,SU-00116,PL-008,ST-0026,family,north,2026-01-23,active,2026-01-02T08:35:00Z
subscribers-000117,SU-00117,PL-009,ST-0027,business,coastal,2026-01-24,active,2026-01-02T08:52:00Z
subscribers-000118,SU-00118,PL-010,ST-0028,consumer,coastal,2026-01-25,active,2026-01-02T09:09:00Z
subscribers-000119,SU-00119,PL-011,ST-0029,consumer,south,2026-01-26,active,2026-01-02T09:26:00Z
subscribers-000120,SU-00120,PL-012,ST-0030,family,coastal,2026-01-27,active,2026-01-02T09:43:00Z
subscribers-000121,SU-00121,PL-001,ST-0001,consumer,coastal,2026-01-28,active,2026-01-02T10:00:00Z
subscribers-000122,SU-00122,PL-002,ST-0002,business,central,2026-01-29,active,2026-01-02T10:17:00Z
subscribers-000123,SU-00123,PL-003,ST-0003,business,north,2026-01-30,active,2026-01-02T10:34:00Z
subscribers-000124,SU-00124,PL-004,ST-0004,business,north,2026-01-31,active,2026-01-02T10:51:00Z
subscribers-000125,SU-00125,PL-005,ST-0005,family,central,2026-01-01,active,2026-01-02T11:08:00Z
subscribers-000126,SU-00126,PL-006,ST-0006,family,central,2026-01-02,active,2026-01-02T11:25:00Z
subscribers-000127,SU-00127,PL-007,ST-0007,consumer,central,2026-01-03,active,2026-01-02T11:42:00Z
subscribers-000128,SU-00128,PL-008,ST-0008,family,coastal,2026-01-04,active,2026-01-02T11:59:00Z
subscribers-000129,SU-00129,PL-009,ST-0009,business,central,2026-01-05,active,2026-01-02T12:16:00Z
subscribers-000130,SU-00130,PL-010,ST-0010,family,central,2026-01-06,active,2026-01-02T12:33:00Z
subscribers-000131,SU-00131,PL-011,ST-0011,business,central,2026-01-07,active,2026-01-02T12:50:00Z
subscribers-000132,SU-00132,PL-012,ST-0012,family,south,2026-01-08,active,2026-01-02T13:07:00Z
subscribers-000133,SU-00133,PL-001,ST-0013,business,south,2026-01-09,active,2026-01-02T13:24:00Z
subscribers-000134,SU-00134,PL-002,ST-0014,consumer,central,2026-01-10,active,2026-01-02T13:41:00Z
subscribers-000135,SU-00135,PL-003,ST-0015,family,coastal,2026-01-11,active,2026-01-02T13:58:00Z
subscribers-000136,SU-00136,PL-004,ST-0016,family,south,2026-01-12,active,2026-01-02T14:15:00Z
subscribers-000137,SU-00137,PL-005,ST-0017,consumer,coastal,2026-01-13,active,2026-01-02T14:32:00Z
subscribers-000138,SU-00138,PL-006,ST-0018,consumer,south,2026-01-14,active,2026-01-02T14:49:00Z
subscribers-000139,SU-00139,PL-007,ST-0019,consumer,south,2026-01-15,active,2026-01-02T15:06:00Z
subscribers-000140,SU-00140,PL-008,ST-0020,family,north,2026-01-16,active,2026-01-02T15:23:00Z
subscribers-000141,SU-00141,PL-009,ST-0021,family,north,2026-01-17,active,2026-01-02T15:40:00Z
subscribers-000142,SU-00142,PL-010,ST-0022,family,south,2026-01-18,active,2026-01-02T15:57:00Z
subscribers-000143,SU-00143,PL-011,ST-0023,consumer,south,2026-01-19,active,2026-01-02T16:14:00Z
subscribers-000144,SU-00144,PL-012,ST-0024,business,north,2026-01-20,active,2026-01-02T16:31:00Z
subscribers-000145,SU-00145,PL-001,ST-0025,family,south,2026-01-21,active,2026-01-02T16:48:00Z
subscribers-000146,SU-00146,PL-002,ST-0026,consumer,south,2026-01-22,active,2026-01-02T17:05:00Z
subscribers-000147,SU-00147,PL-003,ST-0027,consumer,coastal,2026-01-23,active,2026-01-02T17:22:00Z
subscribers-000148,SU-00148,PL-004,ST-0028,family,central,2026-01-24,active,2026-01-02T17:39:00Z
subscribers-000149,SU-00149,PL-005,ST-0029,consumer,central,2026-01-25,active,2026-01-02T17:56:00Z
subscribers-000150,SU-00150,PL-006,ST-0030,consumer,north,2026-01-26,active,2026-01-02T18:13:00Z
subscribers-000151,SU-00151,PL-007,ST-0001,business,coastal,2026-01-27,active,2026-01-02T18:30:00Z
subscribers-000152,SU-00152,PL-008,ST-0002,business,north,2026-01-28,active,2026-01-02T18:47:00Z
subscribers-000153,SU-00153,PL-009,ST-0003,consumer,south,2026-01-29,active,2026-01-02T19:04:00Z
subscribers-000154,SU-00154,PL-010,ST-0004,consumer,south,2026-01-30,active,2026-01-02T19:21:00Z
subscribers-000155,SU-00155,PL-011,ST-0005,consumer,north,2026-01-31,active,2026-01-02T19:38:00Z
subscribers-000156,SU-00156,PL-012,ST-0006,family,coastal,2026-01-01,active,2026-01-02T19:55:00Z
subscribers-000157,SU-00157,PL-001,ST-0007,business,coastal,2026-01-02,active,2026-01-02T20:12:00Z
subscribers-000158,SU-00158,PL-002,ST-0008,consumer,north,2026-01-03,active,2026-01-02T20:29:00Z
subscribers-000159,SU-00159,PL-003,ST-0009,business,central,2026-01-04,active,2026-01-02T20:46:00Z
subscribers-000160,SU-00160,PL-004,ST-0010,business,south,2026-01-05,active,2026-01-02T21:03:00Z
subscribers-000161,SU-00161,PL-005,ST-0011,family,coastal,2026-01-06,active,2026-01-02T21:20:00Z
subscribers-000162,SU-00162,PL-006,ST-0012,business,south,2026-01-07,active,2026-01-02T21:37:00Z
subscribers-000163,SU-00163,PL-007,ST-0013,consumer,coastal,2026-01-08,active,2026-01-02T21:54:00Z
subscribers-000164,SU-00164,PL-008,ST-0014,business,north,2026-01-09,active,2026-01-02T22:11:00Z
subscribers-000165,SU-00165,PL-009,ST-0015,business,north,2026-01-10,active,2026-01-02T22:28:00Z
subscribers-000166,SU-00166,PL-010,ST-0016,family,central,2026-01-11,active,2026-01-02T22:45:00Z
subscribers-000167,SU-00167,PL-011,ST-0017,family,coastal,2026-01-12,active,2026-01-02T23:02:00Z
subscribers-000168,SU-00168,PL-012,ST-0018,family,central,2026-01-13,active,2026-01-02T23:19:00Z
subscribers-000169,SU-00169,PL-001,ST-0019,family,north,2026-01-14,active,2026-01-02T23:36:00Z
subscribers-000170,SU-00170,PL-002,ST-0020,consumer,north,2026-01-15,active,2026-01-02T23:53:00Z
subscribers-000171,SU-00171,PL-003,ST-0021,business,coastal,2026-01-16,active,2026-01-03T00:10:00Z
subscribers-000172,SU-00172,PL-004,ST-0022,business,coastal,2026-01-17,active,2026-01-03T00:27:00Z
subscribers-000173,SU-00173,PL-005,ST-0023,consumer,central,2026-01-18,active,2026-01-03T00:44:00Z
subscribers-000174,SU-00174,PL-006,ST-0024,consumer,south,2026-01-19,active,2026-01-03T01:01:00Z
subscribers-000175,SU-00175,PL-007,ST-0025,consumer,coastal,2026-01-20,active,2026-01-03T01:18:00Z
subscribers-000176,SU-00176,PL-008,ST-0026,consumer,south,2026-01-21,active,2026-01-03T01:35:00Z
subscribers-000177,SU-00177,PL-009,ST-0027,family,central,2026-01-22,active,2026-01-03T01:52:00Z
subscribers-000178,SU-00178,PL-010,ST-0028,consumer,north,2026-01-23,active,2026-01-03T02:09:00Z
subscribers-000179,SU-00179,PL-011,ST-0029,consumer,north,2026-01-24,active,2026-01-03T02:26:00Z
subscribers-000180,SU-00180,PL-012,ST-0030,business,coastal,2026-01-25,active,2026-01-03T02:43:00Z
subscribers-000181,SU-00181,PL-001,ST-0001,family,coastal,2026-01-26,active,2026-01-03T03:00:00Z
subscribers-000182,SU-00182,PL-002,ST-0002,family,south,2026-01-27,active,2026-01-03T03:17:00Z
subscribers-000183,SU-00183,PL-003,ST-0003,consumer,central,2026-01-28,active,2026-01-03T03:34:00Z
subscribers-000184,SU-00184,PL-004,ST-0004,consumer,coastal,2026-01-29,active,2026-01-03T03:51:00Z
subscribers-000185,SU-00185,PL-005,ST-0005,consumer,north,2026-01-30,active,2026-01-03T04:08:00Z
subscribers-000186,SU-00186,PL-006,ST-0006,family,central,2026-01-31,active,2026-01-03T04:25:00Z
subscribers-000187,SU-00187,PL-007,ST-0007,consumer,north,2026-01-01,active,2026-01-03T04:42:00Z
subscribers-000188,SU-00188,PL-008,ST-0008,family,coastal,2026-01-02,active,2026-01-03T04:59:00Z
subscribers-000189,SU-00189,PL-009,ST-0009,business,north,2026-01-03,active,2026-01-03T05:16:00Z
subscribers-000190,SU-00190,PL-010,ST-0010,family,coastal,2026-01-04,active,2026-01-03T05:33:00Z
subscribers-000191,SU-00191,PL-011,ST-0011,family,south,2026-01-05,active,2026-01-03T05:50:00Z
subscribers-000192,SU-00192,PL-012,ST-0012,family,coastal,2026-01-06,active,2026-01-03T06:07:00Z
subscribers-000193,SU-00193,PL-001,ST-0013,consumer,north,2026-01-07,active,2026-01-03T06:24:00Z
subscribers-000194,SU-00194,PL-002,ST-0014,consumer,north,2026-01-08,active,2026-01-03T06:41:00Z
subscribers-000195,SU-00195,PL-003,ST-0015,consumer,south,2026-01-09,active,2026-01-03T06:58:00Z
subscribers-000196,SU-00196,PL-004,ST-0016,family,central,2026-01-10,active,2026-01-03T07:15:00Z
subscribers-000197,SU-00197,PL-005,ST-0017,business,central,2026-01-11,active,2026-01-03T07:32:00Z
subscribers-000198,SU-00198,PL-006,ST-0018,family,north,2026-01-12,active,2026-01-03T07:49:00Z
subscribers-000199,SU-00199,PL-007,ST-0019,consumer,coastal,2026-01-13,active,2026-01-03T08:06:00Z
subscribers-000200,SU-00200,PL-008,ST-0020,family,north,2026-01-14,active,2026-01-03T08:23:00Z
subscribers-000201,SU-00201,PL-009,ST-0021,consumer,north,2026-01-15,active,2026-01-03T08:40:00Z
subscribers-000202,SU-00202,PL-010,ST-0022,consumer,south,2026-01-16,active,2026-01-03T08:57:00Z
subscribers-000203,SU-00203,PL-011,ST-0023,family,south,2026-01-17,active,2026-01-03T09:14:00Z
subscribers-000204,SU-00204,PL-012,ST-0024,consumer,south,2026-01-18,active,2026-01-03T09:31:00Z
subscribers-000205,SU-00205,PL-001,ST-0025,business,central,2026-01-19,active,2026-01-03T09:48:00Z
subscribers-000206,SU-00206,PL-002,ST-0026,consumer,coastal,2026-01-20,active,2026-01-03T10:05:00Z
subscribers-000207,SU-00207,PL-003,ST-0027,business,coastal,2026-01-21,active,2026-01-03T10:22:00Z
subscribers-000208,SU-00208,PL-004,ST-0028,business,north,2026-01-22,active,2026-01-03T10:39:00Z
subscribers-000209,SU-00209,PL-005,ST-0029,consumer,central,2026-01-23,active,2026-01-03T10:56:00Z
subscribers-000210,SU-00210,PL-006,ST-0030,family,north,2026-01-24,active,2026-01-03T11:13:00Z
subscribers-000211,SU-00211,PL-007,ST-0001,business,south,2026-01-25,active,2026-01-03T11:30:00Z
subscribers-000212,SU-00212,PL-008,ST-0002,consumer,north,2026-01-26,active,2026-01-03T11:47:00Z
subscribers-000213,SU-00213,PL-009,ST-0003,consumer,north,2026-01-27,active,2026-01-03T12:04:00Z
subscribers-000214,SU-00214,PL-010,ST-0004,business,central,2026-01-28,active,2026-01-03T12:21:00Z
subscribers-000215,SU-00215,PL-011,ST-0005,business,north,2026-01-29,active,2026-01-03T12:38:00Z
subscribers-000216,SU-00216,PL-012,ST-0006,consumer,south,2026-01-30,active,2026-01-03T12:55:00Z
subscribers-000217,SU-00217,PL-001,ST-0007,business,south,2026-01-31,active,2026-01-03T13:12:00Z
subscribers-000218,SU-00218,PL-002,ST-0008,consumer,north,2026-01-01,active,2026-01-03T13:29:00Z
subscribers-000219,SU-00219,PL-003,ST-0009,business,coastal,2026-01-02,active,2026-01-03T13:46:00Z
subscribers-000220,SU-00220,PL-004,ST-0010,family,north,2026-01-03,active,2026-01-03T14:03:00Z
subscribers-000221,SU-00221,PL-005,ST-0011,family,coastal,2026-01-04,active,2026-01-03T14:20:00Z
subscribers-000222,SU-00222,PL-006,ST-0012,business,coastal,2026-01-05,active,2026-01-03T14:37:00Z
subscribers-000223,SU-00223,PL-007,ST-0013,family,north,2026-01-06,active,2026-01-03T14:54:00Z
subscribers-000224,SU-00224,PL-008,ST-0014,family,central,2026-01-07,active,2026-01-03T15:11:00Z
subscribers-000225,SU-00225,PL-009,ST-0015,business,central,2026-01-08,active,2026-01-03T15:28:00Z
subscribers-000226,SU-00226,PL-010,ST-0016,family,coastal,2026-01-09,active,2026-01-03T15:45:00Z
subscribers-000227,SU-00227,PL-011,ST-0017,consumer,north,2026-01-10,active,2026-01-03T16:02:00Z
subscribers-000228,SU-00228,PL-012,ST-0018,business,north,2026-01-11,active,2026-01-03T16:19:00Z
subscribers-000229,SU-00229,PL-001,ST-0019,consumer,central,2026-01-12,active,2026-01-03T16:36:00Z
subscribers-000230,SU-00230,PL-002,ST-0020,family,central,2026-01-13,active,2026-01-03T16:53:00Z
subscribers-000231,SU-00231,PL-003,ST-0021,business,north,2026-01-14,active,2026-01-03T17:10:00Z
subscribers-000232,SU-00232,PL-004,ST-0022,consumer,north,2026-01-15,active,2026-01-03T17:27:00Z
subscribers-000233,SU-00233,PL-005,ST-0023,family,south,2026-01-16,active,2026-01-03T17:44:00Z
subscribers-000234,SU-00234,PL-006,ST-0024,family,south,2026-01-17,active,2026-01-03T18:01:00Z
subscribers-000235,SU-00235,PL-007,ST-0025,family,coastal,2026-01-18,active,2026-01-03T18:18:00Z
subscribers-000236,SU-00236,PL-008,ST-0026,business,north,2026-01-19,active,2026-01-03T18:35:00Z
subscribers-000237,SU-00237,PL-009,ST-0027,consumer,north,2026-01-20,active,2026-01-03T18:52:00Z
subscribers-000238,SU-00238,PL-010,ST-0028,business,south,2026-01-21,active,2026-01-03T19:09:00Z
subscribers-000239,SU-00239,PL-011,ST-0029,family,coastal,2026-01-22,active,2026-01-03T19:26:00Z
subscribers-000240,SU-00240,PL-012,ST-0030,business,central,2026-01-23,active,2026-01-03T19:43:00Z
subscribers-000241,SU-00241,PL-001,ST-0001,business,coastal,2026-01-24,active,2026-01-03T20:00:00Z
subscribers-000242,SU-00242,PL-002,ST-0002,consumer,north,2026-01-25,active,2026-01-03T20:17:00Z
subscribers-000243,SU-00243,PL-003,ST-0003,consumer,coastal,2026-01-26,active,2026-01-03T20:34:00Z
subscribers-000244,SU-00244,PL-004,ST-0004,consumer,north,2026-01-27,active,2026-01-03T20:51:00Z
subscribers-000245,SU-00245,PL-005,ST-0005,family,central,2026-01-28,active,2026-01-03T21:08:00Z
subscribers-000246,SU-00246,PL-006,ST-0006,business,central,2026-01-29,active,2026-01-03T21:25:00Z
subscribers-000247,SU-00247,PL-007,ST-0007,business,coastal,2026-01-30,active,2026-01-03T21:42:00Z
subscribers-000248,SU-00248,PL-ORPHAN,ST-0008,consumer,central,2026-01-31,active,2026-01-03T21:59:00Z
subscribers-000249,SU-00249,PL-009,ST-0009,consumer,south,2026-01-01,active,2026-01-03T22:16:00Z
subscribers-000250,SU-00249,PL-010,ST-0010,consumer,coastal,2026-01-02,active,2026-01-03T22:33:00Z
