source_row_id,event_id,subscriber_id,site_id,event_time,usage_type,usage_value,usage_unit,charge_amount,updated_at
usage_events-000030,EV-0000030,SU-00030,ST-0030,2026-01-01T03:23:00Z,voice,449.1,minutes,2.82,2026-01-01T03:23:00Z
usage_events-000031,EV-0000031,SU-00031,ST-0001,2026-01-01T03:30:00Z,voice,402.0,minutes,1.15,2026-01-01T03:30:00Z
usage_events-000032,EV-0000032,SU-00032,ST-0002,2026-01-01T03:37:00Z,sms,490.3,messages,0.84,2026-01-01T03:37:00Z
usage_events-000033,EV-0000033,SU-00033,ST-0003,2026-01-01T03:44:00Z,voice,314.8,minutes,3.46,2026-01-01T03:44:00Z
usage_events-000034,EV-0000034,SU-00034,ST-0004,2026-01-01T03:51:00Z,sms,35.5,messages,1.84,2026-01-01T03:51:00Z
usage_events-000035,EV-0000035,SU-00035,ST-0005,2026-01-01T03:58:00Z,sms,478.8,messages,1.83,2026-01-01T03:58:00Z
usage_events-000036,EV-0000036,SU-00036,ST-0006,2026-01-01T04:05:00Z,voice,53.7,minutes,1.77,2026-01-01T04:05:00Z
usage_events-000037,EV-0000037,SU-00037,ST-0007,2026-01-01T04:12:00Z,data,56.7,mb,2.68,2026-01-01T04:12:00Z
usage_events-000038,EV-0000038,SU-00038,ST-0008,2026-01-01T04:19:00Z,voice,117.4,minutes,0.61,2026-01-01T04:19:00Z
usage_events-000039,EV-0000039,SU-00039,ST-0009,2026-01-01T04:26:00Z,data,227.7,mb,2.86,2026-01-01T04:26:00Z
usage_events-000040,EV-0000040,SU-00040,ST-0010,2026-01-01T04:33:00Z,data,30.8,mb,1.65,2026-01-01T04:33:00Z
usage_events-000041,EV-0000041,SU-00041,ST-0011,2026-01-01T04:40:00Z,sms,383.6,messages,0.94,2026-01-01T04:40:00Z
usage_events-000042,EV-0000042,SU-00042,ST-0012,2026-01-01T04:47:00Z,data,319.9,mb,0.38,2026-01-01T04:47:00Z
usage_events-000043,EV-0000043,SU-00043,ST-0013,2026-01-01T04:54:00Z,data,470.4,mb,0.61,2026-01-01T04:54:00Z
usage_events-000044,EV-0000044,SU-00044,ST-0014,2026-01-01T05:01:00Z,voice,125.6,minutes,1.51,2026-01-01T05:01:00Z
usage_events-000045,EV-0000045,SU-00045,ST-0015,2026-01-01T05:08:00Z,voice,79.3,minutes,3.39,2026-01-01T05:08:00Z
usage_events-000046,EV-0000046,SU-00046,ST-0016,2026-01-01T05:15:00Z,voice,400.6,minutes,4.61,2026-01-01T05:15:00Z
usage_events-000047,EV-0000047,SU-00047,ST-0017,2026-01-01T05:22:00Z,sms,384.2,messages,0.39,2026-01-01T05:22:00Z
usage_events-000048,EV-0000048,SU-00048,ST-0018,2026-01-01T05:29:00Z,voice,387.1,minutes,4.62,2026-01-01T05:29:00Z
usage_events-000049,EV-0000049,SU-00049,ST-0019,2026-01-01T05:36:00Z,sms,260.3,messages,1.50,2026-01-01T05:36:00Z
usage_events-000050,EV-0000050,SU-00050,ST-0020,2026-01-01T05:43:00Z,data,3.7,mb,4.57,2026-01-01T05:43:00Z
usage_events-000051,EV-0000051,SU-00051,ST-0021,2026-01-01T05:50:00Z,sms,93.5,messages,4.05,2026-01-01T05:50:00Z
usage_events-000052,EV-0000052,SU-00052,ST-0022,2026-01-01T05:57:00Z,data,465.5,mb,2.04,2026-01-01T05:57:00Z
usage_events-000053,EV-0000053,SU-00053,ST-0023,2026-01-01T06:04:00Z,sms,3.2,messages,0.04,2026-01-01T06:04:00Z
usage_events-000054,EV-0000054,SU-00054,ST-0024,2026-01-01T06:11:00Z,data,101.3,mb,2.94,2026-01-01T06:11:00Z
usage_events-000055,EV-0000055,SU-00055,ST-0025,2026-01-01T06:18:00Z,sms,152.8,messages,0.71,2026-01-01T06:18:00Z
usage_events-000056,EV-0000056,SU-00056,ST-0026,2026-01-01T06:25:00Z,data,396.9,mb,3.10,2026-01-01T06:25:00Z
usage_events-000057,EV-0000057,SU-00057,ST-0027,2026-01-01T06:32:00Z,data,281.8,mb,4.51,2026-01-01T06:32:00Z
usage_events-000058,EV-0000058,SU-00058,ST-0028,2026-01-01T06:39:00Z,sms,27.0,messages,0.16,2026-01-01T06:39:00Z
usage_events-000059,EV-0000059,SU-00059,ST-0029,2026-01-01T06:46:00Z,voice,487.0,minutes,0.77,2026-01-01T06:46:00Z
usage_events-000060,EV-0000060,SU-00060,ST-0030,2026-01-01T06:53:00Z,sms,384.0,messages,1.55,2026-01-01T06:53:00Z
usage_events-000061,EV-0000061,SU-00061,ST-0001,2026-01-01T07:00:00Z,sms,4.4,messages,2.62,2026-01-01T07:00:00Z
usage_events-000062,EV-0000062,SU-00062,ST-0002,2026-01-01T07:07:00Z,sms,275.5,messages,2.07,2026-01-01T07:07:00Z
usage_events-000063,EV-0000063,SU-00063,ST-0003,2026-01-01T07:14:00Z,sms,152.5,messages,3.86,2026-01-01T07:14:00Z
usage_events-000064,EV-0000064,SU-00064,ST-0004,2026-01-01T07:21:00Z,sms,347.8,messages,4.46,2026-01-01T07:21:00Z
usage_events-000065,EV-0000065,SU-00065,ST-0005,2026-01-01T07:28:00Z,sms,77.6,messages,3.20,2026-01-01T07:28:00Z
usage_events-000066,EV-0000066,SU-00066,ST-0006,2026-01-01T07:35:00Z,voice,362.9,minutes,1.73,2026-01-01T07:35:00Z
usage_events-000067,EV-0000067,SU-00067,ST-0007,2026-01-01T07:42:00Z,voice,286.3,minutes,1.69,2026-01-01T07:42:00Z
usage_events-000068,EV-0000068,SU-00068,ST-0008,2026-01-01T07:49:00Z,voice,324.2,minutes,0.21,2026-01-01T07:49:00Z
usage_events-000069,EV-0000069,SU-00069,ST-0009,2026-01-01T07:56:00Z,data,194.4,mb,3.02,2026-01-01T07:56:00Z
usage_events-000070,EV-0000070,SU-00070,ST-0010,2026-01-01T08:03:00Z,data,94.6,mb,0.74,2026-01-01T08:03:00Z
usage_events-000071,EV-0000071,SU-00071,ST-0011,2026-01-01T08:10:00Z,data,252.3,mb,0.27,2026-01-01T08:10:00Z
usage_events-000072,EV-0000072,SU-00072,ST-0012,2026-01-01T08:17:00Z,voice,252.1,minutes,1.85,2026-01-01T08:17:00Z
usage_events-000073,EV-0000073,SU-00073,ST-0013,2026-01-01T08:24:00Z,data,42.6,mb,4.63,2026-01-01T08:24:00Z
usage_events-000074,EV-0000074,SU-00074,ST-0014,2026-01-01T08:31:00Z,voice,92.8,minutes,1.05,2026-01-01T08:31:00Z
usage_events-000075,EV-0000075,SU-00075,ST-0015,2026-01-01T08:38:00Z,sms,179.8,messages,0.54,2026-01-01T08:38:00Z
usage_events-000076,EV-0000076,SU-00076,ST-0016,2026-01-01T08:45:00Z,voice,41.5,minutes,3.44,2026-01-01T08:45:00Z
usage_events-000077,EV-0000077,SU-00077,ST-0017,2026-01-01T08:52:00Z,data,3.8,mb,3.06,2026-01-01T08:52:00Z
usage_events-000078,EV-0000078,SU-00078,ST-0018,2026-01-01T08:59:00Z,data,478.2,mb,4.60,2026-01-01T08:59:00Z
usage_events-000079,EV-0000079,SU-00079,ST-0019,2026-01-01T09:06:00Z,sms,206.2,messages,1.39,2026-01-01T09:06:00Z
usage_events-000080,EV-0000080,SU-00080,ST-0020,2026-01-01T09:13:00Z,sms,298.4,messages,2.84,2026-01-01T09:13:00Z
usage_events-000081,EV-0000081,SU-00081,ST-0021,2026-01-01T09:20:00Z,voice,419.5,minutes,0.45,2026-01-01T09:20:00Z
usage_events-000082,EV-0000082,SU-00082,ST-0022,2026-01-01T09:27:00Z,data,482.9,mb,1.00,2026-01-01T09:27:00Z
usage_events-000083,EV-0000083,SU-00083,ST-0023,2026-01-01T09:34:00Z,voice,176.6,minutes,1.90,2026-01-01T09:34:00Z
usage_events-000084,EV-0000084,SU-00084,ST-0024,2026-01-01T09:41:00Z,voice,405.5,minutes,0.00,2026-01-01T09:41:00Z
usage_events-000085,EV-0000085,SU-00085,ST-0025,2026-01-01T09:48:00Z,voice,15.6,minutes,3.63,2026-01-01T09:48:00Z
usage_events-000086,EV-0000086,SU-00086,ST-0026,2026-01-01T09:55:00Z,voice,190.2,minutes,1.73,2026-01-01T09:55:00Z
usage_events-000087,EV-0000087,SU-00087,ST-0027,2026-01-01T10:02:00Z,sms,91.9,messages,2.19,2026-01-01T10:02:00Z
usage_events-000088,EV-0000088,SU-00088,ST-0028,2026-01-01T10:09:00Z,data,398.8,mb,1.02,2026-01-01T10:09:00Z
usage_events-000089,EV-0000089,SU-00089,ST-0029,2026-01-01T10:16:00Z,voice,344.9,minutes,0.38,2026-01-01T10:16:00Z
usage_events-000090,EV-0000090,SU-00090,ST-0030,2026-01-01T10:23:00Z,voice,472.2,minutes,2.60,2026-01-01T10:23:00Z
usage_events-000091,EV-0000091,SU-00091,ST-0001,2026-01-01T10:30:00Z,data,272.2,mb,4.72,2026-01-01T10:30:00Z
usage_events-000092,EV-0000092,SU-00092,ST-0002,2026-01-01T10:37:00Z,data,470.2,mb,0.26,2026-01-01T10:37:00Z
usage_events-000093,EV-0000093,SU-00093,ST-0003,2026-01-01T10:44:00Z,voice,199.6,minutes,2.57,2026-01-01T10:44:00Z
usage_events-000094,EV-0000094,SU-00094,ST-0004,2026-01-01T10:51:00Z,sms,127.9,messages,4.93,2026-01-01T10:51:00Z
usage_events-000095,EV-0000095,SU-00095,ST-0005,2026-01-01T10:58:00Z,sms,377.5,messages,2.27,2026-01-01T10:58:00Z
usage_events-000096,EV-0000096,SU-00096,ST-0006,2026-01-01T11:05:00Z,data,137.0,mb,0.91,2026-01-01T11:05:00Z
usage_events-000097,EV-0000097,SU-00097,ST-0007,2026-01-01T11:12:00Z,data,26.1,mb,1.07,2026-01-01T11:12:00Z
usage_events-000098,EV-0000098,SU-00098,ST-0008,2026-01-01T11:19:00Z,sms,159.2,messages,3.51,2026-01-01T11:19:00Z
usage_events-000099,EV-0000099,SU-00099,ST-0009,2026-01-01T11:26:00Z,sms,277.3,messages,0.06,2026-01-01T11:26:00Z
usage_events-000100,EV-0000100,SU-00100,ST-0010,2026-01-01T11:33:00Z,data,413.1,mb,2.10,2026-01-01T11:33:00Z
usage_events-000101,EV-0000101,SU-00101,ST-0011,2026-01-01T11:40:00Z,voice,51.2,minutes,4.51,2026-01-01T11:40:00Z
usage_events-000102,EV-0000102,SU-00102,ST-0012,2026-01-01T11:47:00Z,sms,21.0,messages,3.71,2026-01-01T11:47:00Z
usage_events-000103,EV-0000103,SU-00103,ST-0013,2026-01-01T11:54:00Z,sms,187.0,messages,3.18,2026-01-01T11:54:00Z
usage_events-000104,EV-0000104,SU-00104,ST-0014,2026-01-01T12:01:00Z,sms,198.3,messages,2.23,2026-01-01T12:01:00Z
usage_events-000105,EV-0000105,SU-00105,ST-0015,2026-01-01T12:08:00Z,sms,227.8,messages,3.11,2026-01-01T12:08:00Z
usage_events-000106,EV-0000106,SU-00106,ST-0016,2026-01-01T12:15:00Z,data,316.2,mb,2.36,2026-01-01T12:15:00Z
usage_events-000107,EV-0000107,SU-00107,ST-0017,2026-01-01T12:22:00Z,voice,108.7,minutes,2.00,2026-01-01T12:22:00Z
usage_events-000108,EV-0000108,SU-00108,ST-0018,2026-01-01T12:29:00Z,data,133.7,mb,0.52,2026-01-01T12:29:00Z
usage_events-000109,EV-0000109,SU-00109,ST-0019,2026-01-01T12:36:00Z,data,148.4,mb,0.75,2026-01-01T12:36:00Z
usage_events-000110,EV-0000110,SU-00110,ST-0020,2026-01-01T12:43:00Z,voice,436.0,minutes,4.07,2026-01-01T12:43:00Z
usage_events-000111,EV-0000111,SU-00111,ST-0021,2026-01-01T12:50:00Z,sms,444.0,messages,1.41,2026-01-01T12:50:00Z
usage_events-000112,EV-0000112,SU-00112,ST-0022,2026-01-01T12:57:00Z,data,165.9,mb,4.47,2026-01-01T12:57:00Z
usage_events-000113,EV-0000113,SU-00113,ST-0023,2026-01-01T13:04:00Z,voice,412.1,minutes,2.80,2026-01-01T13:04:00Z
usage_events-000114,EV-0000114,SU-00114,ST-0024,2026-01-01T13:11:00Z,data,419.0,mb,4.09,2026-01-01T13:11:00Z
usage_events-000115,EV-0000115,SU-00115,ST-0025,2026-01-01T13:18:00Z,data,42.9,mb,0.73,2026-01-01T13:18:00Z
usage_events-000116,EV-0000116,SU-00116,ST-0026,2026-01-01T13:25:00Z,voice,425.5,minutes,4.35,2026-01-01T13:25:00Z
usage_events-000117,EV-0000117,SU-00117,ST-0027,2026-01-01T13:32:00Z,data,188.9,mb,0.54,2026-01-01T13:32:00Z
usage_events-000118,EV-0000118,SU-00118,ST-0028,2026-01-01T13:39:00Z,sms,180.5,messages,4.70,2026-01-01T13:39:00Z
usage_events-000119,EV-0000119,SU-00119,ST-0029,2026-01-01T13:46:00Z,sms,65.3,messages,0.23,2026-01-01T13:46:00Z
usage_events-000120,EV-0000120,SU-00120,ST-0030,2026-01-01T13:53:00Z,voice,88.2,minutes,3.48,2026-01-01T13:53:00Z
usage_events-000121,EV-0000121,SU-00121,ST-0001,2026-01-01T14:00:00Z,data,171.6,mb,4.32,2026-01-01T14:00:00Z
usage_events-000122,EV-0000122,SU-00122,ST-0002,2026-01-01T14:07:00Z,sms,400.6,messages,0.80,2026-01-01T14:07:00Z
usage_events-000123,EV-0000123,SU-00123,ST-0003,2026-01-01T14:14:00Z,data,175.8,mb,3.74,2026-01-01T14:14:00Z
usage_events-000124,EV-0000124,SU-00124,ST-0004,2026-01-01T14:21:00Z,voice,353.7,minutes,0.69,2026-01-01T14:21:00Z
usage_events-000125,EV-0000125,SU-00125,ST-0005,2026-01-01T14:28:00Z,data,62.7,mb,1.73,2026-01-01T14:28:00Z
usage_events-000126,EV-0000126,SU-00126,ST-0006,2026-01-01T14:35:00Z,data,454.2,mb,3.10,2026-01-01T14:35:00Z
usage_events-000127,EV-0000127,SU-00127,ST-0007,2026-01-01T14:42:00Z,sms,109.5,messages,2.50,2026-01-01T14:42:00Z
usage_events-000128,EV-0000128,SU-00128,ST-0008,2026-01-01T14:49:00Z,voice,475.4,minutes,2.09,2026-01-01T14:49:00Z
usage_events-000129,EV-0000129,SU-00129,ST-0009,2026-01-01T14:56:00Z,sms,166.7,messages,0.82,2026-01-01T14:56:00Z
usage_events-000130,EV-0000130,SU-00130,ST-0010,2026-01-01T15:03:00Z,data,162.4,mb,4.90,2026-01-01T15:03:00Z
usage_events-000131,EV-0000131,SU-00131,ST-0011,2026-01-01T15:10:00Z,data,419.7,mb,2.03,2026-01-01T15:10:00Z
usage_events-000132,EV-0000132,SU-00132,ST-0012,2026-01-01T15:17:00Z,data,276.3,mb,4.50,2026-01-01T15:17:00Z
usage_events-000133,EV-0000133,SU-00133,ST-0013,2026-01-01T15:24:00Z,sms,145.1,messages,3.54,2026-01-01T15:24:00Z
usage_events-000134,EV-0000134,SU-00134,ST-0014,2026-01-01T15:31:00Z,voice,191.2,minutes,3.99,2026-01-01T15:31:00Z
usage_events-000135,EV-0000135,SU-00135,ST-0015,2026-01-01T15:38:00Z,sms,274.1,messages,0.12,2026-01-01T15:38:00Z
usage_events-000136,EV-0000136,SU-00136,ST-0016,2026-01-01T15:45:00Z,sms,229.1,messages,4.38,2026-01-01T15:45:00Z
usage_events-000137,EV-0000137,SU-00137,ST-0017,2026-01-01T15:52:00Z,data,22.8,mb,4.42,2026-01-01T15:52:00Z
usage_events-000138,EV-0000138,SU-00138,ST-0018,2026-01-01T15:59:00Z,data,484.0,mb,4.88,2026-01-01T15:59:00Z
usage_events-000139,EV-0000139,SU-00139,ST-0019,2026-01-01T16:06:00Z,data,172.3,mb,2.08,2026-01-01T16:06:00Z
usage_events-000140,EV-0000140,SU-00140,ST-0020,2026-01-01T16:13:00Z,voice,430.6,minutes,0.91,2026-01-01T16:13:00Z
usage_events-000141,EV-0000141,SU-00141,ST-0021,2026-01-01T16:20:00Z,voice,254.2,minutes,2.28,2026-01-01T16:20:00Z
usage_events-000142,EV-0000142,SU-00142,ST-0022,2026-01-01T16:27:00Z,voice,129.4,minutes,4.56,2026-01-01T16:27:00Z
usage_events-000143,EV-0000143,SU-00143,ST-0023,2026-01-01T16:34:00Z,sms,199.6,messages,1.14,2026-01-01T16:34:00Z
usage_events-000144,EV-0000144,SU-00144,ST-0024,2026-01-01T16:41:00Z,sms,41.1,messages,1.77,2026-01-01T16:41:00Z
usage_events-000145,EV-0000145,SU-00145,ST-0025,2026-01-01T16:48:00Z,sms,331.3,messages,2.46,2026-01-01T16:48:00Z
usage_events-000146,EV-0000146,SU-00146,ST-0026,2026-01-01T16:55:00Z,voice,121.9,minutes,4.47,2026-01-01T16:55:00Z
usage_events-000147,EV-0000147,SU-00147,ST-0027,2026-01-01T17:02:00Z,voice,377.5,minutes,3.26,2026-01-01T17:02:00Z
usage_events-000148,EV-0000148,SU-00148,ST-0028,2026-01-01T17:09:00Z,data,132.0,mb,1.59,2026-01-01T17:09:00Z
usage_events-000149,EV-0000149,SU-00149,ST-0029,2026-01-01T17:16:00Z,data,277.8,mb,4.48,2026-01-01T17:16:00Z
usage_events-000150,EV-0000150,SU-00150,ST-0030,2026-01-01T17:23:00Z,voice,227.3,minutes,3.25,2026-01-01T17:23:00Z
usage_events-000151,EV-0000151,SU-00151,ST-0001,2026-01-01T17:30:00Z,data,241.1,mb,4.13,2026-01-01T17:30:00Z
usage_events-000152,EV-0000152,SU-00152,ST-0002,2026-01-01T17:37:00Z,voice,138.7,minutes,1.98,2026-01-01T17:37:00Z
usage_events-000153,EV-0000153,SU-00153,ST-0003,2026-01-01T17:44:00Z,data,267.0,mb,0.94,2026-01-01T17:44:00Z
usage_events-000154,EV-0000154,SU-00154,ST-0004,2026-01-01T17:51:00Z,sms,195.6,messages,4.36,2026-01-01T17:51:00Z
usage_events-000155,EV-0000155,SU-00155,ST-0005,2026-01-01T17:58:00Z,data,297.8,mb,0.95,2026-01-01T17:58:00Z
usage_events-000156,EV-0000156,SU-00156,ST-0006,2026-01-01T18:05:00Z,sms,380.5,messages,1.22,2026-01-01T18:05:00Z
usage_events-000157,EV-0000157,SU-00157,ST-0007,2026-01-01T18:12:00Z,voice,349.1,minutes,1.89,2026-01-01T18:12:00Z
usage_events-000158,EV-0000158,SU-00158,ST-0008,2026-01-01T18:19:00Z,voice,434.9,minutes,3.03,2026-01-01T18:19:00Z
usage_events-000159,EV-0000159,SU-00159,ST-0009,2026-01-01T18:26:00Z,sms,243.8,messages,2.35,2026-01-01T18:26:00Z
usage_events-000160,EV-0000160,SU-00160,ST-0010,2026-01-01T18:33:00Z,sms,408.0,messages,2.98,2026-01-01T18:33:00Z
usage_events-000161,EV-0000161,SU-00161,ST-0011,2026-01-01T18:40:00Z,sms,427.6,messages,3.39,2026-01-01T18:40:00Z
usage_events-000162,EV-0000162,SU-00162,ST-0012,2026-01-01T18:47:00Z,data,391.6,mb,3.12,2026-01-01T18:47:00Z
usage_events-000163,EV-0000163,SU-00163,ST-0013,2026-01-01T18:54:00Z,sms,292.2,messages,3.04,2026-01-01T18:54:00Z
usage_events-000164,EV-0000164,SU-00164,ST-0014,2026-01-01T19:01:00Z,voice,380.8,minutes,4.45,2026-01-01T19:01:00Z
usage_events-000165,EV-0000165,SU-00165,ST-0015,2026-01-01T19:08:00Z,sms,326.4,messages,4.35,2026-01-01T19:08:00Z
usage_events-000166,EV-0000166,SU-00166,ST-0016,2026-01-01T19:15:00Z,sms,132.4,messages,1.11,2026-01-01T19:15:00Z
usage_events-000167,EV-0000167,SU-00167,ST-0017,2026-01-01T19:22:00Z,sms,223.3,messages,0.32,2026-01-01T19:22:00Z
usage_events-000168,EV-0000168,SU-00168,ST-0018,2026-01-01T19:29:00Z,sms,102.1,messages,2.18,2026-01-01T19:29:00Z
usage_events-000169,EV-0000169,SU-00169,ST-0019,2026-01-01T19:36:00Z,sms,408.0,messages,1.48,2026-01-01T19:36:00Z
usage_events-000170,EV-0000170,SU-00170,ST-0020,2026-01-01T19:43:00Z,voice,362.7,minutes,2.32,2026-01-01T19:43:00Z
usage_events-000171,EV-0000171,SU-00171,ST-0021,2026-01-01T19:50:00Z,sms,376.5,messages,4.13,2026-01-01T19:50:00Z
usage_events-000172,EV-0000172,SU-00172,ST-0022,2026-01-01T19:57:00Z,sms,179.4,messages,2.48,2026-01-01T19:57:00Z
usage_events-000173,EV-0000173,SU-00173,ST-0023,2026-01-01T20:04:00Z,data,282.1,mb,2.96,2026-01-01T20:04:00Z
usage_events-000174,EV-0000174,SU-00174,ST-0024,2026-01-01T20:11:00Z,data,373.5,mb,1.57,2026-01-01T20:11:00Z
usage_events-000175,EV-0000175,SU-00175,ST-0025,2026-01-01T20:18:00Z,data,200.3,mb,1.72,2026-01-01T20:18:00Z
usage_events-000176,EV-0000176,SU-00176,ST-0026,2026-01-01T20:25:00Z,sms,196.0,messages,3.79,2026-01-01T20:25:00Z
usage_events-000177,EV-0000177,SU-00177,ST-0027,2026-01-01T20:32:00Z,voice,332.6,minutes,4.01,2026-01-01T20:32:00Z
usage_events-000178,EV-0000178,SU-00178,ST-0028,2026-01-01T20:39:00Z,voice,492.7,minutes,1.76,2026-01-01T20:39:00Z
usage_events-000179,EV-0000179,SU-00179,ST-0029,2026-01-01T20:46:00Z,voice,384.7,minutes,2.86,2026-01-01T20:46:00Z
usage_events-000180,EV-0000180,SU-00180,ST-0030,2026-01-01T20:53:00Z,sms,302.1,messages,4.22,2026-01-01T20:53:00Z
usage_events-000181,EV-0000181,SU-00181,ST-0001,2026-01-01T21:00:00Z,data,194.5,mb,0.76,2026-01-01T21:00:00Z
usage_events-000182,EV-0000182,SU-00182,ST-0002,2026-01-01T21:07:00Z,voice,270.1,minutes,4.40,2026-01-01T21:07:00Z
usage_events-000183,EV-0000183,SU-00183,ST-0003,2026-01-01T21:14:00Z,voice,280.1,minutes,2.63,2026-01-01T21:14:00Z
usage_events-000184,EV-0000184,SU-00184,ST-0004,2026-01-01T21:21:00Z,data,317.3,mb,4.27,2026-01-01T21:21:00Z
usage_events-000185,EV-0000185,SU-00185,ST-0005,2026-01-01T21:28:00Z,data,473.1,mb,3.78,2026-01-01T21:28:00Z
usage_events-000186,EV-0000186,SU-00186,ST-0006,2026-01-01T21:35:00Z,data,369.0,mb,4.23,2026-01-01T21:35:00Z
usage_events-000187,EV-0000187,SU-00187,ST-0007,2026-01-01T21:42:00Z,sms,427.6,messages,2.01,2026-01-01T21:42:00Z
usage_events-000188,EV-0000188,SU-00188,ST-0008,2026-01-01T21:49:00Z,sms,319.3,messages,3.55,2026-01-01T21:49:00Z
usage_events-000189,EV-0000189,SU-00189,ST-0009,2026-01-01T21:56:00Z,sms,318.7,messages,2.39,2026-01-01T21:56:00Z
usage_events-000190,EV-0000190,SU-00190,ST-0010,2026-01-01T22:03:00Z,sms,85.5,messages,0.33,2026-01-01T22:03:00Z
usage_events-000191,EV-0000191,SU-00191,ST-0011,2026-01-01T22:10:00Z,sms,34.7,messages,2.15,2026-01-01T22:10:00Z
usage_events-000192,EV-0000192,SU-00192,ST-0012,2026-01-01T22:17:00Z,voice,206.7,minutes,1.30,2026-01-01T22:17:00Z
usage_events-000193,EV-0000193,SU-00193,ST-0013,2026-01-01T22:24:00Z,voice,150.9,minutes,2.42,2026-01-01T22:24:00Z
usage_events-000194,EV-0000194,SU-00194,ST-0014,2026-01-01T22:31:00Z,sms,435.9,messages,4.82,2026-01-01T22:31:00Z
usage_events-000195,EV-0000195,SU-00195,ST-0015,2026-01-01T22:38:00Z,voice,128.4,minutes,1.45,2026-01-01T22:38:00Z
