source_row_id,transaction_id,account_id,event_time,transaction_type,channel,merchant_category,currency,amount,status,updated_at
transactions-000018,TX-0000018,AC-00018,2026-01-01T03:07:00Z,credit,branch,utilities,USD,153.75,posted,2026-01-01T03:07:00Z
transactions-000019,TX-0000019,AC-00019,2026-01-01T03:18:00Z,credit,mobile,travel,USD,122.75,posted,2026-01-01T03:18:00Z
transactions-000020,TX-0000020,AC-00020,2026-01-01T03:29:00Z,credit,card,grocery,USD,183.50,posted,2026-01-01T03:29:00Z
transactions-000021,TX-0000021,AC-00021,2026-01-01T03:40:00Z,credit,atm,travel,USD,175.00,posted,2026-01-01T03:40:00Z
transactions-000022,TX-0000022,AC-00022,2026-01-01T03:51:00Z,debit,atm,services,USD,259.75,posted,2026-01-01T03:51:00Z
transactions-000023,TX-0000023,AC-00023,2026-01-01T04:02:00Z,refund,card,utilities,USD,194.00,posted,2026-01-01T04:02:00Z
transactions-000024,TX-0000024,AC-00024,2026-01-01T04:13:00Z,debit,mobile,travel,USD,224.25,posted,2026-01-01T04:13:00Z
transactions-000025,TX-0000025,AC-00025,2026-01-01T04:24:00Z,refund,branch,grocery,USD,290.25,posted,2026-01-01T04:24:00Z
transactions-000026,TX-0000026,AC-00026,2026-01-01T04:35:00Z,refund,branch,utilities,USD,103.75,posted,2026-01-01T04:35:00Z
transactions-000027,TX-0000027,AC-00027,2026-01-01T04:46:00Z,refund,branch,services,USD,208.75,posted,2026-01-01T04:46:00Z
transactions-000028,TX-0000028,AC-00028,2026-01-01T04:57:00Z,credit,card,services,USD,128.00,posted,2026-01-01T04:57:00Z
transactions-000029,TX-0000029,AC-00029,2026-01-01T05:08:00Z,debit,card,grocery,USD,188.00,posted,2026-01-01T05:08:00Z
transactions-000030,TX-0000030,AC-00030,2026-01-01T05:19:00Z,refund,mobile,utilities,USD,219.50,posted,2026-01-01T05:19:00Z
transactions-000031,TX-0000031,AC-00031,2026-01-01T05:30:00Z,credit,branch,utilities,USD,293.75,posted,2026-01-01T05:30:00Z
transactions-000032,TX-0000032,AC-00032,2026-01-01T05:41:00Z,refund,card,grocery,USD,225.00,posted,2026-01-01T05:41:00Z
transactions-000033,TX-0000033,AC-00033,2026-01-01T05:52:00Z,debit,card,services,USD,173.75,posted,2026-01-01T05:52:00Z
transactions-000034,TX-0000034,AC-00034,2026-01-01T06:03:00Z,debit,card,utilities,USD,267.75,posted,2026-01-01T06:03:00Z
transactions-000035,TX-0000035,AC-00035,2026-01-01T06:14:00Z,debit,mobile,grocery,USD,164.50,posted,2026-01-01T06:14:00Z
transactions-000036,TX-0000036,AC-00036,2026-01-01T06:25:00Z,credit,branch,grocery,USD,174.25,posted,2026-01-01T06:25:00Z
transactions-000037,TX-0000037,AC-00037,2026-01-01T06:36:00Z,refund,branch,utilities,USD,230.75,posted,2026-01-01T06:36:00Z
transactions-000038,TX-0000038,AC-00038,2026-01-01T06:47:00Z,credit,card,utilities,USD,20.50,posted,2026-01-01T06:47:00Z
transactions-000039,TX-0000039,AC-00039,2026-01-01T06:58:00Z,refund,mobile,utilities,USD,278.00,posted,2026-01-01T06:58:00Z
transactions-000040,TX-0000040,AC-00040,2026-01-01T07:09:00Z,credit,mobile,travel,USD,291.75,posted,2026-01-01T07:09:00Z
transactions-000041,TX-0000041,AC-00041,2026-01-01T07:20:00Z,debit,branch,travel,USD,254.50,posted,2026-01-01T07:20:00Z
transactions-000042,TX-0000042,AC-00042,2026-01-01T07:31:00Z,credit,branch,utilities,USD,213.50,posted,2026-01-01T07:31:00Z
transactions-000043,TX-0000043,AC-00043,2026-01-01T07:42:00Z,refund,card,grocery,USD,225.50,posted,2026-01-01T07:42:00Z
transactions-000044,TX-0000044,AC-00044,2026-01-01T07:53:00Z,credit,branch,grocery,USD,286.25,posted,2026-01-01T07:53:00Z
transactions-000045,TX-0000045,AC-00045,2026-01-01T08:04:00Z,debit,branch,services,USD,27.25,posted,2026-01-01T08:04:00Z
transactions-000046,TX-0000046,AC-00046,2026-01-01T08:15:00Z,credit,mobile,utilities,USD,253.75,posted,2026-01-01T08:15:00Z
transactions-000047,TX-0000047,AC-00047,2026-01-01T08:26:00Z,debit,mobile,utilities,USD,207.00,posted,2026-01-01T08:26:00Z
transactions-000048,TX-0000048,AC-00048,2026-01-01T08:37:00Z,credit,card,services,USD,291.25,posted,2026-01-01T08:37:00Z
transactions-000049,TX-0000049,AC-00049,2026-01-01T08:48:00Z,refund,mobile,grocery,USD,221.75,posted,2026-01-01T08:48:00Z
transactions-000050,TX-0000050,AC-00050,2026-01-01T08:59:00Z,debit,branch,services,USD,115.50,posted,2026-01-01T08:59:00Z
transactions-000051,TX-0000051,AC-00051,2026-01-01T09:10:00Z,refund,atm,services,USD,173.75,posted,2026-01-01T09:10:00Z
transactions-000052,TX-0000052,AC-00052,2026-01-01T09:21:00Z,credit,mobile,utilities,USD,23.00,posted,2026-01-01T09:21:00Z
transactions-000053,TX-0000053,AC-00053,2026-01-01T09:32:00Z,debit,atm,services,USD,182.25,posted,2026-01-01T09:32:00Z
transactions-000054,TX-0000054,AC-00054,2026-01-01T09:43:00Z,debit,card,services,USD,27.75,posted,2026-01-01T09:43:00Z
transactions-000055,TX-0000055,AC-00055,2026-01-01T09:54:00Z,debit,card,travel,USD,104.75,posted,2026-01-01T09:54:00Z
transactions-000056,TX-0000056,AC-00056,2026-01-01T10:05:00Z,debit,atm,utilities,USD,213.75,posted,2026-01-01T10:05:00Z
transactions-000057,TX-0000057,AC-00057,2026-01-01T10:16:00Z,credit,card,services,USD,74.00,posted,2026-01-01T10:16:00Z
transactions-000058,TX-0000058,AC-00058,2026-01-01T10:27:00Z,credit,card,utilities,USD,51.25,posted,2026-01-01T10:27:00Z
transactions-000059,TX-0000059,AC-00059,2026-01-01T10:38:00Z,credit,mobile,services,USD,103.75,posted,2026-01-01T10:38:00Z
transactions-000060,TX-0000060,AC-00060,2026-01-01T10:49:00Z,refund,atm,utilities,USD,241.75,posted,2026-01-01T10:49:00Z
transactions-000061,TX-0000061,AC-00061,2026-01-01T11:00:00Z,refund,branch,utilities,USD,133.25,posted,2026-01-01T11:00:00Z
transactions-000062,TX-0000062,AC-00062,2026-01-01T11:11:00Z,credit,atm,grocery,USD,28.00,posted,2026-01-01T11:11:00Z
transactions-000063,TX-0000063,AC-00063,2026-01-01T11:22:00Z,debit,mobile,grocery,USD,135.00,posted,2026-01-01T11:22:00Z
transactions-000064,TX-0000064,AC-00064,2026-01-01T11:33:00Z,credit,mobile,travel,USD,232.00,posted,2026-01-01T11:33:00Z
transactions-000065,TX-0000065,AC-00065,2026-01-01T11:44:00Z,refund,atm,travel,USD,38.75,posted,2026-01-01T11:44:00Z
transactions-000066,TX-0000066,AC-00066,2026-01-01T11:55:00Z,debit,branch,services,USD,240.75,posted,2026-01-01T11:55:00Z
transactions-000067,TX-0000067,AC-00067,2026-01-01T12:06:00Z,refund,mobile,grocery,USD,215.75,posted,2026-01-01T12:06:00Z
transactions-000068,TX-0000068,AC-00068,2026-01-01T12:17:00Z,refund,atm,travel,USD,207.25,posted,2026-01-01T12:17:00Z
transactions-000069,TX-0000069,AC-00069,2026-01-01T12:28:00Z,credit,mobile,utilities,USD,56.50,posted,2026-01-01T12:28:00Z
transactions-000070,TX-0000070,AC-00070,2026-01-01T12:39:00Z,refund,branch,utilities,USD,212.25,posted,2026-01-01T12:39:00Z
transactions-000071,TX-0000071,AC-00071,2026-01-01T12:50:00Z,debit,mobile,utilities,USD,151.25,posted,2026-01-01T12:50:00Z
transactions-000072,TX-0000072,AC-00072,2026-01-01T13:01:00Z,debit,atm,travel,USD,253.50,posted,2026-01-01T13:01:00Z
transactions-000073,TX-0000073,AC-00073,2026-01-01T13:12:00Z,debit,atm,travel,USD,158.50,posted,2026-01-01T13:12:00Z
transactions-000074,TX-0000074,AC-00074,2026-01-01T13:23:00Z,credit,card,travel,USD,273.50,posted,2026-01-01T13:23:00Z
transactions-000075,TX-0000075,AC-00075,2026-01-01T13:34:00Z,refund,atm,utilities,USD,108.50,posted,2026-01-01T13:34:00Z
transactions-000076,TX-0000076,AC-00076,2026-01-01T13:45:00Z,debit,branch,grocery,USD,8.00,posted,2026-01-01T13:45:00Z
transactions-000077,TX-0000077,AC-00077,2026-01-01T13:56:00Z,credit,branch,utilities,USD,124.25,posted,2026-01-01T13:56:00Z
transactions-000078,TX-0000078,AC-00078,2026-01-01T14:07:00Z,credit,card,utilities,USD,91.50,posted,2026-01-01T14:07:00Z
transactions-000079,TX-0000079,AC-00079,2026-01-01T14:18:00Z,refund,card,utilities,USD,155.25,posted,2026-01-01T14:18:00Z
transactions-000080,TX-0000080,AC-00080,2026-01-01T14:29:00Z,credit,branch,travel,USD,183.25,posted,2026-01-01T14:29:00Z
transactions-000081,TX-0000081,AC-00081,2026-01-01T14:40:00Z,debit,mobile,travel,USD,221.50,posted,2026-01-01T14:40:00Z
transactions-000082,TX-0000082,AC-00082,2026-01-01T14:51:00Z,credit,atm,utilities,USD,74.00,posted,2026-01-01T14:51:00Z
transactions-000083,TX-0000083,AC-00083,2026-01-01T15:02:00Z,credit,mobile,travel,USD,55.25,posted,2026-01-01T15:02:00Z
transactions-000084,TX-0000084,AC-00084,2026-01-01T15:13:00Z,refund,card,grocery,USD,137.50,posted,2026-01-01T15:13:00Z
transactions-000085,TX-0000085,AC-00085,2026-01-01T15:24:00Z,debit,mobile,services,USD,248.25,posted,2026-01-01T15:24:00Z
transactions-000086,TX-0000086,AC-00086,2026-01-01T15:35:00Z,refund,card,grocery,USD,299.00,posted,2026-01-01T15:35:00Z
transactions-000087,TX-0000087,AC-00087,2026-01-01T15:46:00Z,debit,branch,utilities,USD,77.00,posted,2026-01-01T15:46:00Z
transactions-000088,TX-0000088,AC-00088,2026-01-01T15:57:00Z,refund,card,travel,USD,238.00,posted,2026-01-01T15:57:00Z
transactions-000089,TX-0000089,AC-00089,2026-01-01T16:08:00Z,debit,mobile,grocery,USD,24.00,posted,2026-01-01T16:08:00Z
transactions-000090,TX-0000090,AC-00090,2026-01-01T16:19:00Z,refund,card,travel,USD,101.50,posted,2026-01-01T16:19:00Z
transactions-000091,TX-0000091,AC-00091,2026-01-01T16:30:00Z,debit,branch,grocery,USD,39.25,posted,2026-01-01T16:30:00Z
transactions-000092,TX-0000092,AC-00092,2026-01-01T16:41:00Z,credit,mobile,travel,USD,30.50,posted,2026-01-01T16:41:00Z
transactions-000093,TX-0000093,AC-00093,2026-01-01T16:52:00Z,debit,mobile,travel,USD,126.50,posted,2026-01-01T16:52:00Z
transactions-000094,TX-0000094,AC-00094,2026-01-01T17:03:00Z,credit,atm,utilities,USD,162.50,posted,2026-01-01T17:03:00Z
transactions-000095,TX-0000095,AC-00095,2026-01-01T17:14:00Z,credit,atm,utilities,USD,237.75,posted,2026-01-01T17:14:00Z
transactions-000096,TX-0000096,AC-00096,2026-01-01T17:25:00Z,refund,card,utilities,USD,258.00,posted,2026-01-01T17:25:00Z
transactions-000097,TX-0000097,AC-00097,2026-01-01T17:36:00Z,credit,card,grocery,USD,290.50,posted,2026-01-01T17:36:00Z
transactions-000098,TX-0000098,AC-00098,2026-01-01T17:47:00Z,debit,card,services,USD,189.00,posted,2026-01-01T17:47:00Z
transactions-000099,TX-0000099,AC-00099,2026-01-01T17:58:00Z,refund,card,utilities,USD,122.00,posted,2026-01-01T17:58:00Z
transactions-000100,TX-0000100,AC-00100,2026-01-01T18:09:00Z,debit,atm,utilities,USD,128.50,posted,2026-01-01T18:09:00Z
transactions-000101,TX-0000101,AC-00101,2026-01-01T18:20:00Z,credit,atm,travel,USD,27.25,posted,2026-01-01T18:20:00Z
transactions-000102,TX-0000102,AC-00102,2026-01-01T18:31:00Z,credit,card,utilities,USD,96.25,posted,2026-01-01T18:31:00Z
transactions-000103,TX-0000103,AC-00103,2026-01-01T18:42:00Z,credit,mobile,utilities,USD,233.50,posted,2026-01-01T18:42:00Z
transactions-000104,TX-0000104,AC-00104,2026-01-01T18:53:00Z,refund,card,travel,USD,153.75,posted,2026-01-01T18:53:00Z
transactions-000105,TX-0000105,AC-00105,2026-01-01T19:04:00Z,refund,atm,travel,USD,249.00,posted,2026-01-01T19:04:00Z
transactions-000106,TX-0000106,AC-00106,2026-01-01T19:15:00Z,debit,branch,travel,USD,81.50,posted,2026-01-01T19:15:00Z
transactions-000107,TX-0000107,AC-00107,2026-01-01T19:26:00Z,debit,branch,grocery,USD,102.75,posted,2026-01-01T19:26:00Z
transactions-000108,TX-0000108,AC-00108,2026-01-01T19:37:00Z,credit,branch,utilities,USD,269.50,posted,2026-01-01T19:37:00Z
transactions-000109,TX-0000109,AC-00109,2026-01-01T19:48:00Z,debit,branch,grocery,USD,214.25,posted,2026-01-01T19:48:00Z
transactions-000110,TX-0000110,AC-00110,2026-01-01T19:59:00Z,refund,mobile,travel,USD,89.50,posted,2026-01-01T19:59:00Z
transactions-000111,TX-0000111,AC-00111,2026-01-01T20:10:00Z,debit,branch,utilities,USD,65.50,posted,2026-01-01T20:10:00Z
transactions-000112,TX-0000112,AC-00112,2026-01-01T20:21:00Z,credit,mobile,services,USD,76.25,posted,2026-01-01T20:21:00Z
transactions-000113,TX-0000113,AC-00113,2026-01-01T20:32:00Z,refund,mobile,utilities,USD,108.25,posted,2026-01-01T20:32:00Z
transactions-000114,TX-0000114,AC-00114,2026-01-01T20:43:00Z,credit,card,grocery,USD,261.75,posted,2026-01-01T20:43:00Z
transactions-000115,TX-0000115,AC-00115,2026-01-01T20:54:00Z,credit,atm,grocery,USD,213.25,posted,2026-01-01T20:54:00Z
transactions-000116,TX-0000116,AC-00116,2026-01-01T21:05:00Z,credit,card,grocery,USD,154.75,posted,2026-01-01T21:05:00Z
transactions-000117,TX-0000117,AC-00117,2026-01-01T21:16:00Z,refund,branch,utilities,USD,0.25,posted,2026-01-01T21:16:00Z
transactions-000118,TX-0000118,AC-00118,2026-01-01T21:27:00Z,credit,card,services,USD,18.50,posted,2026-01-01T21:27:00Z
transactions-000119,TX-0000119,AC-00119,2026-01-01T21:38:00Z,credit,mobile,utilities,USD,122.00,posted,2026-01-01T21:38:00Z
transactions-000120,TX-0000120,AC-00120,2026-01-01T21:49:00Z,credit,branch,services,USD,194.75,posted,2026-01-01T21:49:00Z
transactions-000121,TX-0000121,AC-00121,2026-01-01T22:00:00Z,refund,atm,travel,USD,278.50,posted,2026-01-01T22:00:00Z
transactions-000122,TX-0000122,AC-00122,2026-01-01T22:11:00Z,refund,branch,utilities,USD,119.25,posted,2026-01-01T22:11:00Z
transactions-000123,TX-0000123,AC-00123,2026-01-01T22:22:00Z,credit,branch,grocery,USD,232.25,posted,2026-01-01T22:22:00Z
transactions-000124,TX-0000124,AC-00124,2026-01-01T22:33:00Z,refund,branch,grocery,USD,189.00,posted,2026-01-01T22:33:00Z
transactions-000125,TX-0000125,AC-00125,2026-01-01T22:44:00Z,refund,mobile,travel,USD,48.00,posted,2026-01-01T22:44:00Z
transactions-000126,TX-0000126,AC-00126,2026-01-01T22:55:00Z,refund,atm,services,USD,15.00,posted,2026-01-01T22:55:00Z
transactions-000127,TX-0000127,AC-00127,2026-01-01T23:06:00Z,refund,card,travel,USD,234.25,posted,2026-01-01T23:06:00Z
transactions-000128,TX-0000128,AC-00128,2026-01-01T23:17:00Z,debit,branch,utilities,USD,195.00,posted,2026-01-01T23:17:00Z
transactions-000129,TX-0000129,AC-00129,2026-01-01T23:28:00Z,debit,mobile,services,USD,126.75,posted,2026-01-01T23:28:00Z
transactions-000130,TX-0000130,AC-00130,2026-01-01T23:39:00Z,refund,mobile,travel,USD,150.00,posted,2026-01-01T23:39:00Z
transactions-000131,TX-0000131,AC-00131,2026-01-01T23:50:00Z,debit,branch,services,USD,127.00,posted,2026-01-01T23:50:00Z
transactions-000132,TX-0000132,AC-00132,2026-01-02T00:01:00Z,debit,atm,utilities,USD,269.00,posted,2026-01-02T00:01:00Z
transactions-000133,TX-0000133,AC-00133,2026-01-02T00:12:00Z,refund,mobile,utilities,USD,37.25,posted,2026-01-02T00:12:00Z
transactions-000134,TX-0000134,AC-00134,2026-01-02T00:23:00Z,credit,card,travel,USD,108.25,posted,2026-01-02T00:23:00Z
transactions-000135,TX-0000135,AC-00135,2026-01-02T00:34:00Z,debit,mobile,travel,USD,230.25,posted,2026-01-02T00:34:00Z
transactions-000136,TX-0000136,AC-00136,2026-01-02T00:45:00Z,debit,atm,utilities,USD,260.50,posted,2026-01-02T00:45:00Z
transactions-000137,TX-0000137,AC-00137,2026-01-02T00:56:00Z,refund,atm,services,USD,38.25,posted,2026-01-02T00:56:00Z
transactions-000138,TX-0000138,AC-00138,2026-01-02T01:07:00Z,debit,mobile,services,USD,113.00,posted,2026-01-02T01:07:00Z
transactions-000139,TX-0000139,AC-00139,2026-01-02T01:18:00Z,debit,branch,services,USD,208.00,posted,2026-01-02T01:18:00Z
transactions-000140,TX-0000140,AC-00140,2026-01-02T01:29:00Z,debit,card,grocery,USD,35.25,posted,2026-01-02T01:29:00Z
transactions-000141,TX-0000141,AC-00141,2026-01-02T01:40:00Z,debit,atm,travel,USD,68.00,posted,2026-01-02T01:40:00Z
transactions-000142,TX-0000142,AC-00142,2026-01-02T01:51:00Z,refund,card,services,USD,186.75,posted,2026-01-02T01:51:00Z
transactions-000143,TX-0000143,AC-00143,2026-01-02T02:02:00Z,refund,card,utilities,USD,72.50,posted,2026-01-02T02:02:00Z
transactions-000144,TX-0000144,AC-00144,2026-01-02T02:13:00Z,credit,mobile,utilities,USD,208.75,posted,2026-01-02T02:13:00Z
transactions-000145,TX-0000145,AC-00145,2026-01-02T02:24:00Z,debit,branch,services,USD,104.75,posted,2026-01-02T02:24:00Z
transactions-000146,TX-0000146,AC-00146,2026-01-02T02:35:00Z,refund,branch,utilities,USD,107.25,posted,2026-01-02T02:35:00Z
transactions-000147,TX-0000147,AC-00147,2026-01-02T02:46:00Z,credit,mobile,grocery,USD,60.25,posted,2026-01-02T02:46:00Z
transactions-000148,TX-0000148,AC-00148,2026-01-02T02:57:00Z,debit,branch,services,USD,24.50,posted,2026-01-02T02:57:00Z
transactions-000149,TX-0000149,AC-00149,2026-01-02T03:08:00Z,refund,atm,services,USD,108.25,posted,2026-01-02T03:08:00Z
transactions-000150,TX-0000150,AC-00150,2026-01-02T03:19:00Z,debit,card,grocery,USD,274.00,posted,2026-01-02T03:19:00Z
transactions-000151,TX-0000151,AC-00151,2026-01-02T03:30:00Z,debit,atm,utilities,USD,89.50,posted,2026-01-02T03:30:00Z
transactions-000152,TX-0000152,AC-00152,2026-01-02T03:41:00Z,credit,atm,grocery,USD,108.50,posted,2026-01-02T03:41:00Z
transactions-000153,TX-0000153,AC-00153,2026-01-02T03:52:00Z,credit,mobile,utilities,USD,106.25,posted,2026-01-02T03:52:00Z
transactions-000154,TX-0000154,AC-00154,2026-01-02T04:03:00Z,refund,mobile,services,USD,111.25,posted,2026-01-02T04:03:00Z
transactions-000155,TX-0000155,AC-00155,2026-01-02T04:14:00Z,debit,atm,travel,USD,140.25,posted,2026-01-02T04:14:00Z
transactions-000156,TX-0000156,AC-00156,2026-01-02T04:25:00Z,debit,atm,travel,USD,226.50,posted,2026-01-02T04:25:00Z
transactions-000157,TX-0000157,AC-00157,2026-01-02T04:36:00Z,credit,mobile,travel,USD,29.00,posted,2026-01-02T04:36:00Z
transactions-000158,TX-0000158,AC-00158,2026-01-02T04:47:00Z,refund,mobile,services,USD,148.75,posted,2026-01-02T04:47:00Z
transactions-000159,TX-0000159,AC-00159,2026-01-02T04:58:00Z,credit,branch,services,USD,94.00,posted,2026-01-02T04:58:00Z
transactions-000160,TX-0000160,AC-00160,2026-01-02T05:09:00Z,debit,mobile,grocery,USD,86.00,posted,2026-01-02T05:09:00Z
transactions-000161,TX-0000161,AC-00161,2026-01-02T05:20:00Z,debit,atm,utilities,USD,135.25,posted,2026-01-02T05:20:00Z
transactions-000162,TX-0000162,AC-00162,2026-01-02T05:31:00Z,refund,mobile,services,USD,106.50,posted,2026-01-02T05:31:00Z
transactions-000163,TX-0000163,AC-00163,2026-01-02T05:42:00Z,debit,mobile,utilities,USD,71.50,posted,2026-01-02T05:42:00Z
transactions-000164,TX-0000164,AC-00164,2026-01-02T05:53:00Z,credit,mobile,grocery,USD,270.50,posted,2026-01-02T05:53:00Z
transactions-000165,TX-0000165,AC-00165,2026-01-02T06:04:00Z,debit,atm,travel,USD,61.25,posted,2026-01-02T06:04:00Z
transactions-000166,TX-0000166,AC-00166,2026-01-02T06:15:00Z,credit,mobile,travel,USD,193.75,posted,2026-01-02T06:15:00Z
transactions-000167,TX-0000167,AC-00167,2026-01-02T06:26:00Z,refund,branch,utilities,USD,13.00,posted,2026-01-02T06:26:00Z
transactions-000168,TX-0000168,AC-00168,2026-01-02T06:37:00Z,debit,branch,utilities,USD,199.00,posted,2026-01-02T06:37:00Z
transactions-000169,TX-0000169,AC-00169,2026-01-02T06:48:00Z,credit,atm,services,USD,192.50,posted,2026-01-02T06:48:00Z
transactions-000170,TX-0000170,AC-00170,2026-01-02T06:59:00Z,debit,card,travel,USD,258.75,posted,2026-01-02T06:59:00Z
transactions-000171,TX-0000171,AC-00171,2026-01-02T07:10:00Z,credit,card,utilities,USD,187.25,posted,2026-01-02T07:10:00Z
transactions-000172,TX-0000172,AC-00172,2026-01-02T07:21:00Z,credit,atm,services,USD,40.00,posted,2026-01-02T07:21:00Z
transactions-000173,TX-0000173,AC-00173,2026-01-02T07:32:00Z,refund,branch,utilities,USD,261.75,posted,2026-01-02T07:32:00Z
transactions-000174,TX-0000174,AC-00174,2026-01-02T07:43:00Z,credit,branch,utilities,USD,53.25,posted,2026-01-02T07:43:00Z
transactions-000175,TX-0000175,AC-00175,2026-01-02T07:54:00Z,refund,mobile,travel,USD,197.00,posted,2026-01-02T07:54:00Z
transactions-000176,TX-0000176,AC-00176,2026-01-02T08:05:00Z,refund,branch,utilities,USD,103.25,posted,2026-01-02T08:05:00Z
transactions-000177,TX-0000177,AC-00177,2026-01-02T08:16:00Z,refund,atm,grocery,USD,227.50,posted,2026-01-02T08:16:00Z
transactions-000178,TX-0000178,AC-00178,2026-01-02T08:27:00Z,debit,branch,utilities,USD,258.50,posted,2026-01-02T08:27:00Z
transactions-000179,TX-0000179,AC-00179,2026-01-02T08:38:00Z,debit,card,travel,USD,70.25,posted,2026-01-02T08:38:00Z
transactions-000180,TX-0000180,AC-00180,2026-01-02T08:49:00Z,credit,mobile,grocery,USD,93.75,posted,2026-01-02T08:49:00Z
transactions-000181,TX-0000181,AC-00181,2026-01-02T09:00:00Z,refund,branch,utilities,USD,213.50,posted,2026-01-02T09:00:00Z
transactions-000182,TX-0000182,AC-00182,2026-01-02T09:11:00Z,debit,card,grocery,USD,122.75,posted,2026-01-02T09:11:00Z
transactions-000183,TX-0000183,AC-00183,2026-01-02T09:22:00Z,debit,card,grocery,USD,230.75,posted,2026-01-02T09:22:00Z
transactions-000184,TX-0000184,AC-00184,2026-01-02T09:33:00Z,credit,branch,utilities,USD,257.50,posted,2026-01-02T09:33:00Z
transactions-000185,TX-0000185,AC-00185,2026-01-02T09:44:00Z,debit,card,utilities,USD,201.25,posted,2026-01-02T09:44:00Z
transactions-000186,TX-0000186,AC-00186,2026-01-02T09:55:00Z,debit,atm,services,USD,23.00,posted,2026-01-02T09:55:00Z
transactions-000187,TX-0000187,AC-00187,2026-01-02T10:06:00Z,credit,card,utilities,USD,124.00,posted,2026-01-02T10:06:00Z
transactions-000188,TX-0000188,AC-00188,2026-01-02T10:17:00Z,refund,card,services,USD,125.00,posted,2026-01-02T10:17:00Z
transactions-000189,TX-0000189,AC-00189,2026-01-02T10:28:00Z,credit,branch,travel,USD,176.75,posted,2026-01-02T10:28:00Z
transactions-000190,TX-0000190,AC-00190,2026-01-02T10:39:00Z,debit,atm,utilities,USD,265.00,posted,2026-01-02T10:39:00Z
transactions-000191,TX-0000191,AC-00191,2026-01-02T10:50:00Z,debit,mobile,grocery,USD,226.75,posted,2026-01-02T10:50:00Z
transactions-000192,TX-0000192,AC-00192,2026-01-02T11:01:00Z,debit,card,travel,USD,83.50,posted,2026-01-02T11:01:00Z
transactions-000193,TX-0000193,AC-00193,2026-01-02T11:12:00Z,debit,branch,services,USD,19.00,posted,2026-01-02T11:12:00Z
transactions-000194,TX-0000194,AC-00194,2026-01-02T11:23:00Z,refund,atm,services,USD,274.00,posted,2026-01-02T11:23:00Z
transactions-000195,TX-0000195,AC-00195,2026-01-02T11:34:00Z,credit,mobile,grocery,USD,155.25,posted,2026-01-02T11:34:00Z
transactions-000196,TX-0000196,AC-00196,2026-01-02T11:45:00Z,credit,card,services,USD,198.25,posted,2026-01-02T11:45:00Z
transactions-000197,TX-0000197,AC-00197,2026-01-02T11:56:00Z,refund,atm,travel,USD,165.00,posted,2026-01-02T11:56:00Z
transactions-000198,TX-0000198,AC-00198,2026-01-02T12:07:00Z,credit,branch,utilities,USD,292.50,posted,2026-01-02T12:07:00Z
transactions-000199,TX-0000199,AC-00199,2026-01-02T12:18:00Z,credit,atm,grocery,USD,231.25,posted,2026-01-02T12:18:00Z
transactions-000200,TX-0000200,AC-00200,2026-01-02T12:29:00Z,refund,atm,grocery,USD,88.75,posted,2026-01-02T12:29:00Z
