source_row_id,customer_id,customer_type,segment,region,risk_band,onboarding_date,status,updated_at
customers-000031,CU-00031,small_business,mass,south,medium,2026-01-31,active,2026-01-01T08:30:00Z
customers-000032,CU-00032,small_business,affluent,south,high,2026-01-01,active,2026-01-01T08:47:00Z
customers-000033,CU-00033,small_business,affluent,south,medium,2026-01-02,active,2026-01-01T09:04:00Z
customers-000034,CU-00034,individual,business,north,medium,2026-01-03,active,2026-01-01T09:21:00Z
customers-000035,CU-00035,individual,affluent,east,high,2026-01-04,active,2026-01-01T09:38:00Z
customers-000036,CU-00036,small_business,business,south,low,2026-01-05,active,2026-01-01T09:55:00Z
customers-000037,CU-00037,individual,business,north,medium,2026-01-06,active,2026-01-01T10:12:00Z
customers-000038,CU-00038,small_business,business,south,medium,2026-01-07,active,2026-01-01T10:29:00Z
customers-000039,CU-00039,small_business,affluent,west,low,2026-01-08,active,2026-01-01T10:46:00Z
customers-000040,CU-00040,small_business,mass,west,low,2026-01-09,active,2026-01-01T11:03:00Z
customers-000041,CU-00041,small_business,affluent,west,low,2026-01-10,active,2026-01-01T11:20:00Z
customers-000042,CU-00042,individual,mass,north,low,2026-01-11,active,2026-01-01T11:37:00Z
customers-000043,CU-00043,individual,business,south,medium,2026-01-12,active,2026-01-01T11:54:00Z
customers-000044,CU-00044,small_business,business,north,medium,2026-01-13,active,2026-01-01T12:11:00Z
customers-000045,CU-00045,individual,affluent,west,medium,2026-01-14,active,2026-01-01T12:28:00Z
customers-000046,CU-00046,small_business,mass,east,low,2026-01-15,active,2026-01-01T12:45:00Z
customers-000047,CU-00047,individual,mass,east,medium,2026-01-16,active,2026-01-01T13:02:00Z
customers-000048,CU-00048,individual,affluent,east,high,2026-01-17,active,2026-01-01T13:19:00Z
customers-000049,CU-00049,individual,business,west,high,2026-01-18,active,2026-01-01T13:36:00Z
customers-000050,CU-00050,small_business,business,west,high,2026-01-19,active,2026-01-01T13:53:00Z
customers-000051,CU-00051,individual,mass,west,medium,2026-01-20,active,2026-01-01T14:10:00Z
customers-000052,CU-00052,small_business,mass,south,low,2026-01-21,active,2026-01-01T14:27:00Z
customers-000053,CU-00053,small_business,affluent,east,medium,2026-01-22,active,2026-01-01T14:44:00Z
customers-000054,CU-00054,individual,business,west,medium,2026-01-23,active,2026-01-01T15:01:00Z
customers-000055,CU-00055,small_business,business,west,medium,2026-01-24,active,2026-01-01T15:18:00Z
customers-000056,CU-00056,individual,affluent,north,high,2026-01-25,active,2026-01-01T15:35:00Z
customers-000057,CU-00057,individual,affluent,west,high,2026-01-26,active,2026-01-01T15:52:00Z
customers-000058,CU-00058,small_business,affluent,south,high,2026-01-27,active,2026-01-01T16:09:00Z
customers-000059,CU-00059,small_business,affluent,north,medium,2026-01-28,active,2026-01-01T16:26:00Z
customers-000060,CU-00060,small_business,mass,south,low,2026-01-29,active,2026-01-01T16:43:00Z
customers-000061,CU-00061,small_business,business,south,high,2026-01-30,active,2026-01-01T17:00:00Z
customers-000062,CU-00062,small_business,affluent,west,low,2026-01-31,active,2026-01-01T17:17:00Z
customers-000063,CU-00063,individual,affluent,east,low,2026-01-01,active,2026-01-01T17:34:00Z
customers-000064,CU-00064,small_business,affluent,south,low,2026-01-02,active,2026-01-01T17:51:00Z
customers-000065,CU-00065,individual,mass,north,high,2026-01-03,active,2026-01-01T18:08:00Z
customers-000066,CU-00066,small_business,affluent,south,high,2026-01-04,active,2026-01-01T18:25:00Z
customers-000067,CU-00067,small_business,affluent,south,medium,2026-01-05,active,2026-01-01T18:42:00Z
customers-000068,CU-00068,small_business,mass,east,medium,2026-01-06,active,2026-01-01T18:59:00Z
customers-000069,CU-00069,small_business,mass,west,high,2026-01-07,active,2026-01-01T19:16:00Z
customers-000070,CU-00070,individual,business,west,medium,2026-01-08,active,2026-01-01T19:33:00Z
customers-000071,CU-00071,small_business,mass,east,low,2026-01-09,active,2026-01-01T19:50:00Z
customers-000072,CU-00072,small_business,business,north,medium,2026-01-10,active,2026-01-01T20:07:00Z
customers-000073,CU-00073,individual,business,south,low,2026-01-11,active,2026-01-01T20:24:00Z
customers-000074,CU-00074,individual,mass,east,low,2026-01-12,active,2026-01-01T20:41:00Z
customers-000075,CU-00075,individual,mass,east,low,2026-01-13,active,2026-01-01T20:58:00Z
customers-000076,CU-00076,individual,business,east,medium,2026-01-14,active,2026-01-01T21:15:00Z
customers-000077,CU-00077,individual,affluent,west,high,2026-01-15,active,2026-01-01T21:32:00Z
customers-000078,CU-00078,individual,business,south,high,2026-01-16,active,2026-01-01T21:49:00Z
customers-000079,CU-00079,small_business,business,north,high,2026-01-17,active,2026-01-01T22:06:00Z
customers-000080,CU-00080,small_business,mass,north,medium,2026-01-18,active,2026-01-01T22:23:00Z
customers-000081,CU-00081,small_business,mass,north,high,2026-01-19,active,2026-01-01T22:40:00Z
customers-000082,CU-00082,small_business,business,north,medium,2026-01-20,active,2026-01-01T22:57:00Z
customers-000083,CU-00083,individual,affluent,east,high,2026-01-21,active,2026-01-01T23:14:00Z
customers-000084,CU-00084,small_business,business,west,high,2026-01-22,active,2026-01-01T23:31:00Z
customers-000085,CU-00085,individual,mass,east,medium,2026-01-23,active,2026-01-01T23:48:00Z
customers-000086,CU-00086,small_business,affluent,south,low,2026-01-24,active,2026-01-02T00:05:00Z
customers-000087,CU-00087,small_business,affluent,east,medium,2026-01-25,active,2026-01-02T00:22:00Z
customers-000088,CU-00088,individual,affluent,north,medium,2026-01-26,active,2026-01-02T00:39:00Z
customers-000089,CU-00089,small_business,affluent,north,medium,2026-01-27,active,2026-01-02T00:56:00Z
customers-000090,CU-00090,small_business,mass,west,low,2026-01-28,active,2026-01-02T01:13:00Z
customers-000091,CU-00091,individual,affluent,west,high,2026-01-29,active,2026-01-02T01:30:00Z
customers-000092,CU-00092,small_business,business,south,medium,2026-01-30,active,2026-01-02T01:47:00Z
customers-000093,CU-00093,small_business,business,north,low,2026-01-31,active,2026-01-02T02:04:00Z
customers-000094,CU-00094,small_business,business,west,low,2026-01-01,active,2026-01-02T02:21:00Z
customers-000095,CU-00095,individual,mass,north,medium,2026-01-02,active,2026-01-02T02:38:00Z
customers-000096,CU-00096,small_business,affluent,east,low,2026-01-03,active,2026-01-02T02:55:00Z
customers-000097,CU-00097,individual,business,west,high,2026-01-04,active,2026-01-02T03:12:00Z
customers-000098,CU-00098,individual,mass,west,medium,2026-01-05,active,2026-01-02T03:29:00Z
customers-000099,CU-00099,individual,business,south,low,2026-01-06,active,2026-01-02T03:46:00Z
customers-000100,CU-00100,small_business,business,west,medium,2026-01-07,active,2026-01-02T04:03:00Z
customers-000101,CU-00101,individual,mass,east,medium,2026-01-08,active,2026-01-02T04:20:00Z
customers-000102,CU-00102,individual,affluent,south,low,2026-01-09,active,2026-01-02T04:37:00Z
customers-000103,CU-00103,small_business,affluent,west,low,2026-01-10,active,2026-01-02T04:54:00Z
customers-000104,CU-00104,small_business,affluent,east,low,2026-01-11,active,2026-01-02T05:11:00Z
customers-000105,CU-00105,small_business,business,south,low,2026-01-12,active,2026-01-02T05:28:00Z
customers-000106,CU-00106,small_business,mass,south,medium,2026-01-13,active,2026-01-02T05:45:00Z
customers-000107,CU-00107,small_business,affluent,east,high,2026-01-14,active,2026-01-02T06:02:00Z
customers-000108,CU-00108,individual,business,north,low,2026-01-15,active,2026-01-02T06:19:00Z
customers-000109,CU-00109,individual,mass,south,high,2026-01-16,active,2026-01-02T06:36:00Z
customers-000110,CU-00110,individual,affluent,south,low,2026-01-17,active,2026-01-02T06:53:00Z
customers-000111,CU-00111,small_business,mass,south,medium,2026-01-18,active,2026-01-02T07:10:00Z
customers-000112,CU-00112,individual,business,east,medium,2026-01-19,active,2026-01-02T07:27:00Z
customers-000113,CU-00113,small_business,affluent,north,medium,2026-01-20,active,2026-01-02T07:44:00Z
customers-000114,CU-00114,small_business,business,east,high,2026-01-21,active,2026-01-02T08:01:00Z
customers-000115,CU-00115,individual,affluent,west,high,2026-01-22,active,2026-01-02T08:18:00Z
customers-000116,CU-00116,individual,affluent,west,low,2026-01-23,active,2026-01-02T08:35:00Z
customers-000117,CU-00117,small_business,mass,south,low,2026-01-24,active,2026-01-02T08:52:00Z
customers-000118,CU-00118,individual,affluent,west,low,2026-01-25,active,2026-01-02T09:09:00Z
customers-000119,CU-00119,small_business,mass,south,high,2026-01-26,active,2026-01-02T09:26:00Z
customers-000120,CU-00120,individual,affluent,north,high,2026-01-27,active,2026-01-02T09:43:00Z
customers-000121,CU-00121,small_business,affluent,south,low,2026-01-28,active,2026-01-02T10:00:00Z
customers-000122,CU-00122,individual,mass,south,high,2026-01-29,active,2026-01-02T10:17:00Z
customers-000123,CU-00123,individual,mass,south,medium,2026-01-30,active,2026-01-02T10:34:00Z
customers-000124,CU-00124,individual,affluent,west,low,2026-01-31,active,2026-01-02T10:51:00Z
customers-000125,CU-00125,small_business,affluent,east,medium,2026-01-01,active,2026-01-02T11:08:00Z
customers-000126,CU-00126,small_business,mass,west,high,2026-01-02,active,2026-01-02T11:25:00Z
customers-000127,CU-00127,small_business,business,south,medium,2026-01-03,active,2026-01-02T11:42:00Z
customers-000128,CU-00128,small_business,affluent,east,high,2026-01-04,active,2026-01-02T11:59:00Z
customers-000129,CU-00129,small_business,affluent,east,low,2026-01-05,active,2026-01-02T12:16:00Z
customers-000130,CU-00130,small_business,affluent,west,medium,2026-01-06,active,2026-01-02T12:33:00Z
customers-000131,CU-00131,small_business,business,east,high,2026-01-07,active,2026-01-02T12:50:00Z
customers-000132,CU-00132,small_business,mass,south,medium,2026-01-08,active,2026-01-02T13:07:00Z
customers-000133,CU-00133,small_business,mass,east,medium,2026-01-09,active,2026-01-02T13:24:00Z
customers-000134,CU-00134,small_business,mass,north,high,2026-01-10,active,2026-01-02T13:41:00Z
customers-000135,CU-00135,small_business,business,west,medium,2026-01-11,active,2026-01-02T13:58:00Z
customers-000136,CU-00136,individual,mass,north,low,2026-01-12,active,2026-01-02T14:15:00Z
customers-000137,CU-00137,individual,mass,north,low,2026-01-13,active,2026-01-02T14:32:00Z
customers-000138,CU-00138,small_business,affluent,south,low,2026-01-14,active,2026-01-02T14:49:00Z
customers-000139,CU-00139,individual,affluent,east,medium,2026-01-15,active,2026-01-02T15:06:00Z
customers-000140,CU-00140,small_business,mass,east,low,2026-01-16,active,2026-01-02T15:23:00Z
customers-000141,CU-00141,individual,affluent,south,medium,2026-01-17,active,2026-01-02T15:40:00Z
customers-000142,CU-00142,individual,mass,west,high,2026-01-18,active,2026-01-02T15:57:00Z
customers-000143,CU-00143,small_business,mass,east,high,2026-01-19,active,2026-01-02T16:14:00Z
customers-000144,CU-00144,small_business,affluent,west,high,2026-01-20,active,2026-01-02T16:31:00Z
customers-000145,CU-00145,individual,business,west,low,2026-01-21,active,2026-01-02T16:48:00Z
customers-000146,CU-00146,small_business,business,west,high,2026-01-22,active,2026-01-02T17:05:00Z
customers-000147,CU-00147,individual,affluent,west,medium,2026-01-23,active,2026-01-02T17:22:00Z
customers-000148,CU-00148,individual,business,west,low,2026-01-24,active,2026-01-02T17:39:00Z
customers-000149,CU-00149,individual,business,south,high,2026-01-25,active,2026-01-02T17:56:00Z
customers-000150,CU-00150,individual,affluent,west,medium,2026-01-26,active,2026-01-02T18:13:00Z
customers-000151,CU-00151,small_business,business,north,high,2026-01-27,active,2026-01-02T18:30:00Z
customers-000152,CU-00152,small_business,mass,south,high,2026-01-28,active,2026-01-02T18:47:00Z
customers-000153,CU-00153,small_business,business,north,high,2026-01-29,active,2026-01-02T19:04:00Z
customers-000154,CU-00154,individual,affluent,west,low,2026-01-30,active,2026-01-02T19:21:00Z
customers-000155,CU-00155,small_business,affluent,north,medium,2026-01-31,active,2026-01-02T19:38:00Z
customers-000156,CU-00156,small_business,business,south,medium,2026-01-01,active,2026-01-02T19:55:00Z
customers-000157,CU-00157,small_business,business,north,low,2026-01-02,active,2026-01-02T20:12:00Z
customers-000158,CU-00158,individual,mass,west,low,2026-01-03,active,2026-01-02T20:29:00Z
customers-000159,CU-00159,small_business,business,north,medium,2026-01-04,active,2026-01-02T20:46:00Z
customers-000160,CU-00160,small_business,affluent,west,high,2026-01-05,active,2026-01-02T21:03:00Z
customers-000161,CU-00161,individual,business,north,high,2026-01-06,active,2026-01-02T21:20:00Z
customers-000162,CU-00162,small_business,affluent,north,low,2026-01-07,active,2026-01-02T21:37:00Z
customers-000163,CU-00163,individual,business,west,high,2026-01-08,active,2026-01-02T21:54:00Z
customers-000164,CU-00164,individual,mass,north,medium,2026-01-09,active,2026-01-02T22:11:00Z
customers-000165,CU-00165,individual,affluent,west,high,2026-01-10,active,2026-01-02T22:28:00Z
customers-000166,CU-00166,individual,business,west,medium,2026-01-11,active,2026-01-02T22:45:00Z
customers-000167,CU-00167,individual,business,north,high,2026-01-12,active,2026-01-02T23:02:00Z
customers-000168,CU-00168,small_business,mass,west,high,2026-01-13,active,2026-01-02T23:19:00Z
customers-000169,CU-00169,individual,affluent,east,medium,2026-01-14,active,2026-01-02T23:36:00Z
customers-000170,CU-00170,small_business,affluent,west,low,2026-01-15,active,2026-01-02T23:53:00Z
customers-000171,CU-00171,small_business,business,south,low,2026-01-16,active,2026-01-03T00:10:00Z
customers-000172,CU-00172,individual,affluent,south,high,2026-01-17,active,2026-01-03T00:27:00Z
customers-000173,CU-00173,small_business,mass,north,medium,2026-01-18,active,2026-01-03T00:44:00Z
customers-000174,CU-00174,individual,business,west,low,2026-01-19,active,2026-01-03T01:01:00Z
customers-000175,CU-00175,individual,business,north,low,2026-01-20,active,2026-01-03T01:18:00Z
customers-000176,CU-00176,individual,affluent,west,medium,2026-01-21,active,2026-01-03T01:35:00Z
customers-000177,CU-00177,small_business,mass,east,high,2026-01-22,active,2026-01-03T01:52:00Z
customers-000178,CU-00178,small_business,mass,east,high,2026-01-23,active,2026-01-03T02:09:00Z
customers-000179,CU-00179,individual,business,west,low,2026-01-24,active,2026-01-03T02:26:00Z
customers-000180,CU-00180,small_business,affluent,north,high,2026-01-25,active,2026-01-03T02:43:00Z
customers-000181,CU-00181,individual,affluent,west,high,2026-01-26,active,2026-01-03T03:00:00Z
customers-000182,CU-00182,small_business,affluent,east,high,2026-01-27,active,2026-01-03T03:17:00Z
customers-000183,CU-00183,individual,mass,north,low,2026-01-28,active,2026-01-03T03:34:00Z
customers-000184,CU-00184,small_business,mass,west,low,2026-01-29,active,2026-01-03T03:51:00Z
customers-000185,CU-00185,small_business,business,west,low,2026-01-30,active,2026-01-03T04:08:00Z
customers-000186,CU-00186,small_business,affluent,north,medium,2026-01-31,active,2026-01-03T04:25:00Z
customers-000187,CU-00187,individual,mass,north,high,2026-01-01,active,2026-01-03T04:42:00Z
customers-000188,CU-00188,small_business,business,north,medium,2026-01-02,active,2026-01-03T04:59:00Z
customers-000189,CU-00189,individual,business,south,high,2026-01-03,active,2026-01-03T05:16:00Z
customers-000190,CU-00190,small_business,business,west,high,2026-01-04,active,2026-01-03T05:33:00Z
customers-000191,CU-00191,small_business,business,north,high,2026-01-05,active,2026-01-03T05:50:00Z
customers-000192,CU-00192,small_business,affluent,west,high,2026-01-06,active,2026-01-03T06:07:00Z
customers-000193,CU-00193,individual,business,east,low,2026-01-07,active,2026-01-03T06:24:00Z
customers-000194,CU-00194,individual,business,north,medium,2026-01-08,active,2026-01-03T06:41:00Z
customers-000195,CU-00195,small_business,affluent,south,high,2026-01-09,active,2026-01-03T06:58:00Z
customers-000196,CU-00196,individual,mass,west,medium,2026-01-10,active,2026-01-03T07:15:00Z
customers-000197,CU-00197,small_business,business,north,high,2026-01-11,active,2026-01-03T07:32:00Z
customers-000198,CU-00198,small_business,business,south,high,2026-01-12,active,2026-01-03T07:49:00Z
customers-000199,CU-00199,small_business,business,west,low,2026-01-13,active,2026-01-03T08:06:00Z
customers-000200,CU-00199,individual,business,east,low,2026-01-14,active,2026-01-03T08:23:00Z
