source_row_id,order_id,customer_id,order_time,channel,region,currency,order_status,discount_amount,declared_total,updated_at
orders-000062,OR-000062,RC-00062,2026-01-02T05:29:00Z,web,east,USD,refunded,19.00,380.00,2026-01-02T05:29:00Z
orders-000063,OR-000063,RC-00063,2026-01-02T05:58:00Z,store,east,USD,refunded,0.00,65.00,2026-01-02T05:58:00Z
orders-000064,OR-000064,RC-00064,2026-01-02T06:27:00Z,store,north,USD,completed,9.00,497.00,2026-01-02T06:27:00Z
orders-000065,OR-000065,RC-00065,2026-01-02T06:56:00Z,web,east,USD,completed,9.00,410.00,2026-01-02T06:56:00Z
orders-000066,OR-000066,RC-00066,2026-01-02T07:25:00Z,mobile,north,USD,completed,18.00,194.00,2026-01-02T07:25:00Z
orders-000067,OR-000067,RC-00067,2026-01-02T07:54:00Z,store,north,USD,completed,3.00,443.00,2026-01-02T07:54:00Z
orders-000068,OR-000068,RC-00068,2026-01-02T08:23:00Z,web,south,USD,completed,17.00,134.00,2026-01-02T08:23:00Z
orders-000069,OR-000069,RC-00069,2026-01-02T08:52:00Z,web,east,USD,completed,16.00,477.00,2026-01-02T08:52:00Z
orders-000070,OR-000070,RC-00070,2026-01-02T09:21:00Z,store,south,USD,refunded,10.00,280.00,2026-01-02T09:21:00Z
orders-000071,OR-000071,RC-00071,2026-01-02T09:50:00Z,web,east,USD,completed,12.00,181.00,2026-01-02T09:50:00Z
orders-000072,OR-000072,RC-00072,2026-01-02T10:19:00Z,web,south,USD,completed,12.00,168.00,2026-01-02T10:19:00Z
orders-000073,OR-000073,RC-00073,2026-01-02T10:48:00Z,web,east,USD,refunded,2.00,142.00,2026-01-02T10:48:00Z
orders-000074,OR-000074,RC-00074,2026-01-02T11:17:00Z,web,west,USD,refunded,8.00,261.00,2026-01-02T11:17:00Z
orders-000075,OR-000075,RC-00075,2026-01-02T11:46:00Z,store,west,USD,refunded,14.00,256.00,2026-01-02T11:46:00Z
orders-000076,OR-000076,RC-00076,2026-01-02T12:15:00Z,mobile,west,USD,completed,9.00,168.00,2026-01-02T12:15:00Z
orders-000077,OR-000077,RC-00077,2026-01-02T12:44:00Z,web,west,USD,completed,5.00,326.00,2026-01-02T12:44:00Z
orders-000078,OR-000078,RC-00078,2026-01-02T13:13:00Z,web,west,USD,completed,8.00,335.00,2026-01-02T13:13:00Z
orders-000079,OR-000079,RC-00079,2026-01-02T13:42:00Z,mobile,east,USD,completed,0.00,299.00,2026-01-02T13:42:00Z
orders-000080,OR-000080,RC-00080,2026-01-02T14:11:00Z,mobile,west,USD,refunded,18.00,239.00,2026-01-02T14:11:00Z
orders-000081,OR-000081,RC-00081,2026-01-02T14:40:00Z,mobile,east,USD,completed,5.00,359.00,2026-01-02T14:40:00Z
orders-000082,OR-000082,RC-00082,2026-01-02T15:09:00Z,web,north,USD,completed,7.00,51.00,2026-01-02T15:09:00Z
orders-000083,OR-000083,RC-00083,2026-01-02T15:38:00Z,web,south,USD,completed,2.00,255.00,2026-01-02T15:38:00Z
orders-000084,OR-000084,RC-00084,2026-01-02T16:07:00Z,mobile,north,USD,completed,20.00,490.00,2026-01-02T16:07:00Z
orders-000085,OR-000085,RC-00085,2026-01-02T16:36:00Z,mobile,north,USD,refunded,10.00,251.00,2026-01-02T16:36:00Z
orders-000086,OR-000086,RC-00086,2026-01-02T17:05:00Z,web,north,USD,refunded,0.00,26.00,2026-01-02T17:05:00Z
orders-000087,OR-000087,RC-00087,2026-01-02T17:34:00Z,mobile,south,USD,refunded,17.00,354.00,2026-01-02T17:34:00Z
orders-000088,OR-000088,RC-00088,2026-01-02T18:03:00Z,store,west,USD,completed,18.00,286.00,2026-01-02T18:03:00Z
orders-000089,OR-000089,RC-00089,2026-01-02T18:32:00Z,store,west,USD,completed,12.00,235.00,2026-01-02T18:32:00Z
orders-000090,OR-000090,RC-00090,2026-01-02T19:01:00Z,store,north,USD,refunded,9.00,264.00,2026-01-02T19:01:00Z
orders-000091,OR-000091,RC-00091,2026-01-02T19:30:00Z,web,east,USD,refunded,10.00,34.00,2026-01-02T19:30:00Z
orders-000092,OR-000092,RC-00092,2026-01-02T19:59:00Z,store,east,USD,completed,16.00,350.00,2026-01-02T19:59:00Z
orders-000093,OR-000093,RC-00093,2026-01-02T20:28:00Z,web,south,USD,completed,16.00,388.00,2026-01-02T20:28:00Z
orders-000094,OR-000094,RC-00094,2026-01-02T20:57:00Z,mobile,east,USD,completed,10.00,263.00,2026-01-02T20:57:00Z
orders-000095,OR-000095,RC-00095,2026-01-02T21:26:00Z,store,east,USD,refunded,15.00,352.00,2026-01-02T21:26:00Z
orders-000096,OR-000096,RC-00096,2026-01-02T21:55:00Z,web,east,USD,completed,18.00,412.00,2026-01-02T21:55:00Z
orders-000097,OR-000097,RC-00097,2026-01-02T22:24:00Z,web,east,USD,refunded,13.00,270.00,2026-01-02T22:24:00Z
orders-000098,OR-000098,RC-00098,2026-01-02T22:53:00Z,store,south,USD,refunded,1.00,274.00,2026-01-02T22:53:00Z
orders-000099,OR-000099,RC-00099,2026-01-02T23:22:00Z,store,south,USD,completed,13.00,22.00,2026-01-02T23:22:00Z
orders-000100,OR-000100,RC-00100,2026-01-02T23:51:00Z,mobile,north,USD,completed,8.00,415.00,2026-01-02T23:51:00Z
orders-000101,OR-000101,RC-00101,2026-01-03T00:20:00Z,mobile,east,USD,refunded,17.00,135.00,2026-01-03T00:20:00Z
orders-000102,OR-000102,RC-00102,2026-01-03T00:49:00Z,web,south,USD,completed,3.00,396.00,2026-01-03T00:49:00Z
orders-000103,OR-000103,RC-00103,2026-01-03T01:18:00Z,store,south,USD,completed,9.00,261.00,2026-01-03T01:18:00Z
orders-000104,OR-000104,RC-00104,2026-01-03T01:47:00Z,store,east,USD,refunded,5.00,442.00,2026-01-03T01:47:00Z
orders-000105,OR-000105,RC-00105,2026-01-03T02:16:00Z,store,west,USD,completed,2.00,117.00,2026-01-03T02:16:00Z
orders-000106,OR-000106,RC-00106,2026-01-03T02:45:00Z,mobile,south,USD,completed,14.00,421.00,2026-01-03T02:45:00Z
orders-000107,OR-000107,RC-00107,2026-01-03T03:14:00Z,web,south,USD,refunded,15.00,385.00,2026-01-03T03:14:00Z
orders-000108,OR-000108,RC-00108,2026-01-03T03:43:00Z,web,south,USD,refunded,11.00,53.00,2026-01-03T03:43:00Z
orders-000109,OR-000109,RC-00109,2026-01-03T04:12:00Z,mobile,south,USD,completed,9.00,433.00,2026-01-03T04:12:00Z
orders-000110,OR-000110,RC-00110,2026-01-03T04:41:00Z,store,north,USD,refunded,18.00,341.00,2026-01-03T04:41:00Z
orders-000111,OR-000111,RC-00111,2026-01-03T05:10:00Z,web,west,USD,completed,10.00,217.00,2026-01-03T05:10:00Z
orders-000112,OR-000112,RC-00112,2026-01-03T05:39:00Z,web,south,USD,completed,16.00,315.00,2026-01-03T05:39:00Z
orders-000113,OR-000113,RC-00113,2026-01-03T06:08:00Z,web,west,USD,completed,9.00,352.00,2026-01-03T06:08:00Z
orders-000114,OR-000114,RC-00114,2026-01-03T06:37:00Z,web,east,USD,refunded,15.00,394.00,2026-01-03T06:37:00Z
orders-000115,OR-000115,RC-00115,2026-01-03T07:06:00Z,store,north,USD,completed,10.00,362.00,2026-01-03T07:06:00Z
orders-000116,OR-000116,RC-00116,2026-01-03T07:35:00Z,web,east,USD,refunded,10.00,131.00,2026-01-03T07:35:00Z
orders-000117,OR-000117,RC-00117,2026-01-03T08:04:00Z,store,south,USD,completed,13.00,254.00,2026-01-03T08:04:00Z
orders-000118,OR-000118,RC-00118,2026-01-03T08:33:00Z,mobile,north,USD,completed,13.00,437.00,2026-01-03T08:33:00Z
orders-000119,OR-000119,RC-00119,2026-01-03T09:02:00Z,store,south,USD,refunded,8.00,394.00,2026-01-03T09:02:00Z
orders-000120,OR-000120,RC-00120,2026-01-03T09:31:00Z,store,east,USD,completed,16.00,253.00,2026-01-03T09:31:00Z
orders-000121,OR-000121,RC-00121,2026-01-03T10:00:00Z,mobile,west,USD,refunded,4.00,147.00,2026-01-03T10:00:00Z
orders-000122,OR-000122,RC-00122,2026-01-03T10:29:00Z,mobile,south,USD,completed,8.00,121.00,2026-01-03T10:29:00Z
orders-000123,OR-000123,RC-00123,2026-01-03T10:58:00Z,web,north,USD,completed,14.00,214.00,2026-01-03T10:58:00Z
orders-000124,OR-000124,RC-00124,2026-01-03T11:27:00Z,store,south,USD,completed,2.00,167.00,2026-01-03T11:27:00Z
orders-000125,OR-000125,RC-00125,2026-01-03T11:56:00Z,store,south,USD,completed,16.00,387.00,2026-01-03T11:56:00Z
orders-000126,OR-000126,RC-00126,2026-01-03T12:25:00Z,store,west,USD,refunded,14.00,26.00,2026-01-03T12:25:00Z
orders-000127,OR-000127,RC-00127,2026-01-03T12:54:00Z,web,east,USD,completed,2.00,156.00,2026-01-03T12:54:00Z
orders-000128,OR-000128,RC-00128,2026-01-03T13:23:00Z,web,north,USD,refunded,17.00,302.00,2026-01-03T13:23:00Z
orders-000129,OR-000129,RC-00129,2026-01-03T13:52:00Z,mobile,west,USD,completed,16.00,452.00,2026-01-03T13:52:00Z
orders-000130,OR-000130,RC-00130,2026-01-03T14:21:00Z,mobile,south,USD,completed,11.00,324.00,2026-01-03T14:21:00Z
orders-000131,OR-000131,RC-00131,2026-01-03T14:50:00Z,mobile,west,USD,completed,14.00,251.00,2026-01-03T14:50:00Z
orders-000132,OR-000132,RC-00132,2026-01-03T15:19:00Z,store,east,USD,completed,6.00,55.00,2026-01-03T15:19:00Z
orders-000133,OR-000133,RC-00133,2026-01-03T15:48:00Z,web,east,USD,completed,20.00,234.00,2026-01-03T15:48:00Z
orders-000134,OR-000134,RC-00134,2026-01-03T16:17:00Z,web,north,USD,completed,5.00,106.00,2026-01-03T16:17:00Z
orders-000135,OR-000135,RC-00135,2026-01-03T16:46:00Z,mobile,west,USD,completed,6.00,467.00,2026-01-03T16:46:00Z
orders-000136,OR-000136,RC-00136,2026-01-03T17:15:00Z,store,west,USD,refunded,17.00,264.00,2026-01-03T17:15:00Z
orders-000137,OR-000137,RC-00137,2026-01-03T17:44:00Z,mobile,north,USD,refunded,9.00,422.00,2026-01-03T17:44:00Z
orders-000138,OR-000138,RC-00138,2026-01-03T18:13:00Z,mobile,south,USD,refunded,13.00,483.00,2026-01-03T18:13:00Z
orders-000139,OR-000139,RC-00139,2026-01-03T18:42:00Z,store,west,USD,completed,10.00,281.00,2026-01-03T18:42:00Z
orders-000140,OR-000140,RC-00140,2026-01-03T19:11:00Z,web,south,USD,refunded,16.00,186.00,2026-01-03T19:11:00Z
orders-000141,OR-000141,RC-00141,2026-01-03T19:40:00Z,store,east,USD,completed,10.00,102.00,2026-01-03T19:40:00Z
orders-000142,OR-000142,RC-00142,2026-01-03T20:09:00Z,store,west,USD,completed,17.00,304.00,2026-01-03T20:09:00Z
orders-000143,OR-000143,RC-00143,2026-01-03T20:38:00Z,web,east,USD,completed,6.00,149.00,2026-01-03T20:38:00Z
orders-000144,OR-000144,RC-00144,2026-01-03T21:07:00Z,web,south,USD,completed,13.00,483.00,2026-01-03T21:07:00Z
orders-000145,OR-000145,RC-00145,2026-01-03T21:36:00Z,web,north,USD,completed,10.00,177.00,2026-01-03T21:36:00Z
orders-000146,OR-000146,RC-00146,2026-01-03T22:05:00Z,web,east,USD,refunded,1.00,408.00,2026-01-03T22:05:00Z
orders-000147,OR-000147,RC-00147,2026-01-03T22:34:00Z,store,east,USD,completed,15.00,138.00,2026-01-03T22:34:00Z
orders-000148,OR-000148,RC-00148,2026-01-03T23:03:00Z,mobile,east,USD,completed,13.00,147.00,2026-01-03T23:03:00Z
orders-000149,OR-000149,RC-00149,2026-01-03T23:32:00Z,store,south,USD,refunded,1.00,140.00,2026-01-03T23:32:00Z
orders-000150,OR-000150,RC-00150,2026-01-04T00:01:00Z,store,west,USD,refunded,10.00,37.00,2026-01-04T00:01:00Z
orders-000151,OR-000151,RC-00151,2026-01-04T00:30:00Z,web,east,USD,completed,15.00,172.00,2026-01-04T00:30:00Z
orders-000152,OR-000152,RC-00152,2026-01-04T00:59:00Z,store,north,USD,refunded,16.00,216.00,2026-01-04T00:59:00Z
orders-000153,OR-000153,RC-00153,2026-01-04T01:28:00Z,store,east,USD,refunded,20.00,53.00,2026-01-04T01:28:00Z
orders-000154,OR-000154,RC-00154,2026-01-04T01:57:00Z,store,west,USD,completed,11.00,70.00,2026-01-04T01:57:00Z
orders-000155,OR-000155,RC-00155,2026-01-04T02:26:00Z,web,south,USD,refunded,5.00,76.00,2026-01-04T02:26:00Z
orders-000156,OR-000156,RC-00156,2026-01-04T02:55:00Z,store,east,USD,completed,13.00,363.00,2026-01-04T02:55:00Z
orders-000157,OR-000157,RC-00157,2026-01-04T03:24:00Z,web,east,USD,completed,14.00,138.00,2026-01-04T03:24:00Z
orders-000158,OR-000158,RC-00158,2026-01-04T03:53:00Z,web,south,USD,refunded,4.00,166.00,2026-01-04T03:53:00Z
orders-000159,OR-000159,RC-00159,2026-01-04T04:22:00Z,store,south,USD,completed,13.00,155.00,2026-01-04T04:22:00Z
orders-000160,OR-000160,RC-00160,2026-01-04T04:51:00Z,mobile,south,USD,completed,19.00,46.00,2026-01-04T04:51:00Z
orders-000161,OR-000161,RC-00161,2026-01-04T05:20:00Z,web,south,USD,refunded,1.00,425.00,2026-01-04T05:20:00Z
orders-000162,OR-000162,RC-00162,2026-01-04T05:49:00Z,web,west,USD,refunded,8.00,391.00,2026-01-04T05:49:00Z
orders-000163,OR-000163,RC-00163,2026-01-04T06:18:00Z,store,north,USD,refunded,6.00,93.00,2026-01-04T06:18:00Z
orders-000164,OR-000164,RC-00164,2026-01-04T06:47:00Z,store,south,USD,completed,0.00,31.00,2026-01-04T06:47:00Z
orders-000165,OR-000165,RC-00165,2026-01-04T07:16:00Z,web,south,USD,refunded,1.00,311.00,2026-01-04T07:16:00Z
orders-000166,OR-000166,RC-00166,2026-01-04T07:45:00Z,web,east,USD,completed,11.00,492.00,2026-01-04T07:45:00Z
orders-000167,OR-000167,RC-00167,2026-01-04T08:14:00Z,mobile,south,USD,completed,8.00,179.00,2026-01-04T08:14:00Z
orders-000168,OR-000168,RC-00168,2026-01-04T08:43:00Z,mobile,west,USD,completed,13.00,57.00,2026-01-04T08:43:00Z
orders-000169,OR-000169,RC-00169,2026-01-04T09:12:00Z,web,east,USD,completed,5.00,133.00,2026-01-04T09:12:00Z
orders-000170,OR-000170,RC-00170,2026-01-04T09:41:00Z,mobile,north,USD,completed,17.00,449.00,2026-01-04T09:41:00Z
orders-000171,OR-000171,RC-00171,2026-01-04T10:10:00Z,web,north,USD,completed,12.00,309.00,2026-01-04T10:10:00Z
orders-000172,OR-000172,RC-00172,2026-01-04T10:39:00Z,mobile,north,USD,completed,0.00,300.00,2026-01-04T10:39:00Z
orders-000173,OR-000173,RC-00173,2026-01-04T11:08:00Z,store,south,USD,refunded,9.00,56.00,2026-01-04T11:08:00Z
orders-000174,OR-000174,RC-00174,2026-01-04T11:37:00Z,store,west,USD,completed,3.00,329.00,2026-01-04T11:37:00Z
orders-000175,OR-000175,RC-00175,2026-01-04T12:06:00Z,web,south,USD,refunded,3.00,92.00,2026-01-04T12:06:00Z
orders-000176,OR-000176,RC-00176,2026-01-04T12:35:00Z,mobile,east,USD,completed,18.00,265.00,2026-01-04T12:35:00Z
orders-000177,OR-000177,RC-00177,2026-01-04T13:04:00Z,mobile,north,USD,completed,8.00,144.00,2026-01-04T13:04:00Z
orders-000178,OR-000178,RC-00178,2026-01-04T13:33:00Z,web,north,USD,completed,20.00,419.00,2026-01-04T13:33:00Z
orders-000179,OR-000179,RC-00179,2026-01-04T14:02:00Z,mobile,north,USD,refunded,14.00,36.00,2026-01-04T14:02:00Z
orders-000180,OR-000180,RC-00180,2026-01-04T14:31:00Z,store,east,USD,completed,5.00,216.00,2026-01-04T14:31:00Z
orders-000181,OR-000181,RC-00181,2026-01-04T15:00:00Z,mobile,north,USD,refunded,4.00,118.00,2026-01-04T15:00:00Z
orders-000182,OR-000182,RC-00182,2026-01-04T15:29:00Z,store,east,USD,refunded,12.00,412.00,2026-01-04T15:29:00Z
orders-000183,OR-000183,RC-00183,2026-01-04T15:58:00Z,mobile,south,USD,refunded,5.00,311.00,2026-01-04T15:58:00Z
orders-000184,OR-000184,RC-00184,2026-01-04T16:27:00Z,store,west,USD,completed,15.00,380.00,2026-01-04T16:27:00Z
orders-000185,OR-000185,RC-00185,2026-01-04T16:56:00Z,mobile,west,USD,completed,14.00,227.00,2026-01-04T16:56:00Z
orders-000186,OR-000186,RC-00186,2026-01-04T17:25:00Z,web,north,USD,completed,16.00,69.00,2026-01-04T17:25:00Z
orders-000187,OR-000187,RC-00187,2026-01-04T17:54:00Z,mobile,east,USD,refunded,3.00,417.00,2026-01-04T17:54:00Z
orders-000188,OR-000188,RC-00188,2026-01-04T18:23:00Z,web,west,USD,completed,0.00,325.00,2026-01-04T18:23:00Z
orders-000189,OR-000189,RC-00189,2026-01-04T18:52:00Z,web,east,USD,completed,15.00,41.00,2026-01-04T18:52:00Z
orders-000190,OR-000190,RC-00190,2026-01-04T19:21:00Z,store,west,USD,completed,16.00,135.00,2026-01-04T19:21:00Z
orders-000191,OR-000191,RC-00191,2026-01-04T19:50:00Z,web,north,USD,completed,5.00,444.00,2026-01-04T19:50:00Z
orders-000192,OR-000192,RC-00192,2026-01-04T20:19:00Z,store,west,USD,refunded,11.00,457.00,2026-01-04T20:19:00Z
orders-000193,OR-000193,RC-00193,2026-01-04T20:48:00Z,web,east,USD,refunded,11.00,490.00,2026-01-04T20:48:00Z
orders-000194,OR-000194,RC-00194,2026-01-04T21:17:00Z,store,north,USD,refunded,1.00,271.00,2026-01-04T21:17:00Z
orders-000195,OR-000195,RC-00195,2026-01-04T21:46:00Z,store,north,USD,completed,12.00,302.00,2026-01-04T21:46:00Z
orders-000196,OR-000196,RC-00196,2026-01-04T22:15:00Z,mobile,north,USD,completed,11.00,284.00,2026-01-04T22:15:00Z
orders-000197,OR-000197,RC-00197,2026-01-04T22:44:00Z,mobile,north,USD,completed,18.00,418.00,2026-01-04T22:44:00Z
orders-000198,OR-000198,RC-00198,2026-01-04T23:13:00Z,web,north,USD,completed,1.00,371.00,2026-01-04T23:13:00Z
orders-000199,OR-000199,RC-00199,2026-01-04T23:42:00Z,store,east,USD,completed,5.00,68.00,2026-01-04T23:42:00Z
orders-000200,OR-000200,RC-00200,2026-01-05T00:11:00Z,store,south,USD,refunded,14.00,344.00,2026-01-05T00:11:00Z
orders-000201,OR-000201,RC-00201,2026-01-05T00:40:00Z,web,west,USD,completed,17.00,241.00,2026-01-05T00:40:00Z
orders-000202,OR-000202,RC-00202,2026-01-05T01:09:00Z,web,south,USD,completed,16.00,164.00,2026-01-05T01:09:00Z
orders-000203,OR-000203,RC-00203,2026-01-05T01:38:00Z,mobile,south,USD,completed,11.00,183.00,2026-01-05T01:38:00Z
orders-000204,OR-000204,RC-00204,2026-01-05T02:07:00Z,web,north,USD,completed,14.00,435.00,2026-01-05T02:07:00Z
orders-000205,OR-000205,RC-00205,2026-01-05T02:36:00Z,store,south,USD,completed,4.00,86.00,2026-01-05T02:36:00Z
orders-000206,OR-000206,RC-00206,2026-01-05T03:05:00Z,web,west,USD,completed,13.00,216.00,2026-01-05T03:05:00Z
orders-000207,OR-000207,RC-00207,2026-01-05T03:34:00Z,web,north,USD,completed,5.00,257.00,2026-01-05T03:34:00Z
