source_row_id,order_id,line_number,product_id,quantity,unit_price,discount_amount,updated_at
order_items-000034,OR-000034,1,PR-00034,4,232.00,1.00,2026-01-01T07:09:00Z
order_items-000035,OR-000035,1,PR-00035,3,125.00,9.00,2026-01-01T07:22:00Z
order_items-000036,OR-000036,1,PR-00036,3,99.00,4.00,2026-01-01T07:35:00Z
order_items-000037,OR-000037,1,PR-00037,2,181.00,8.00,2026-01-01T07:48:00Z
order_items-000038,OR-000038,1,PR-00038,2,20.00,10.00,2026-01-01T08:01:00Z
order_items-000039,OR-000039,1,PR-00039,2,269.00,3.00,2026-01-01T08:14:00Z
order_items-000040,OR-000040,1,PR-00040,2,292.00,9.00,2026-01-01T08:27:00Z
order_items-000041,OR-000041,1,PR-00041,1,164.00,2.00,2026-01-01T08:40:00Z
order_items-000042,OR-000042,1,PR-00042,1,233.00,6.00,2026-01-01T08:53:00Z
order_items-000043,OR-000043,1,PR-00043,1,68.00,2.00,2026-01-01T09:06:00Z
order_items-000044,OR-000044,1,PR-00044,2,87.00,2.00,2026-01-01T09:19:00Z
order_items-000045,OR-000045,1,PR-00045,1,126.00,4.00,2026-01-01T09:32:00Z
order_items-000046,OR-000046,1,PR-00046,1,155.00,4.00,2026-01-01T09:45:00Z
order_items-000047,OR-000047,1,PR-00047,2,70.00,1.00,2026-01-01T09:58:00Z
order_items-000048,OR-000048,1,PR-00048,1,111.00,9.00,2026-01-01T10:11:00Z
order_items-000049,OR-000049,1,PR-00049,2,60.00,3.00,2026-01-01T10:24:00Z
order_items-000050,OR-000050,1,PR-00050,4,97.00,3.00,2026-01-01T10:37:00Z
order_items-000051,OR-000051,1,PR-00051,2,114.00,6.00,2026-01-01T10:50:00Z
order_items-000052,OR-000052,1,PR-00052,2,134.00,8.00,2026-01-01T11:03:00Z
order_items-000053,OR-000053,1,PR-00053,1,294.00,6.00,2026-01-01T11:16:00Z
order_items-000054,OR-000054,1,PR-00054,3,179.00,1.00,2026-01-01T11:29:00Z
order_items-000055,OR-000055,1,PR-00055,1,81.00,9.00,2026-01-01T11:42:00Z
order_items-000056,OR-000056,1,PR-00056,2,291.00,6.00,2026-01-01T11:55:00Z
order_items-000057,OR-000057,1,PR-00057,4,236.00,9.00,2026-01-01T12:08:00Z
order_items-000058,OR-000058,1,PR-00058,3,34.00,2.00,2026-01-01T12:21:00Z
order_items-000059,OR-000059,1,PR-00059,4,223.00,0.00,2026-01-01T12:34:00Z
order_items-000060,OR-000060,1,PR-00060,2,97.00,2.00,2026-01-01T12:47:00Z
order_items-000061,OR-000061,1,PR-00061,4,69.00,10.00,2026-01-01T13:00:00Z
order_items-000062,OR-000062,1,PR-00062,4,291.00,2.00,2026-01-01T13:13:00Z
order_items-000063,OR-000063,1,PR-00063,1,212.00,7.00,2026-01-01T13:26:00Z
order_items-000064,OR-000064,1,PR-00064,3,89.00,10.00,2026-01-01T13:39:00Z
order_items-000065,OR-000065,1,PR-00065,4,225.00,3.00,2026-01-01T13:52:00Z
order_items-000066,OR-000066,1,PR-00066,1,159.00,5.00,2026-01-01T14:05:00Z
order_items-000067,OR-000067,1,PR-00067,3,61.00,4.00,2026-01-01T14:18:00Z
order_items-000068,OR-000068,1,PR-00068,3,272.00,2.00,2026-01-01T14:31:00Z
order_items-000069,OR-000069,1,PR-00069,3,207.00,7.00,2026-01-01T14:44:00Z
order_items-000070,OR-000070,1,PR-00070,2,137.00,5.00,2026-01-01T14:57:00Z
order_items-000071,OR-000071,1,PR-00071,1,132.00,2.00,2026-01-01T15:10:00Z
order_items-000072,OR-000072,1,PR-00072,2,233.00,10.00,2026-01-01T15:23:00Z
order_items-000073,OR-000073,1,PR-00073,3,139.00,2.00,2026-01-01T15:36:00Z
order_items-000074,OR-000074,1,PR-00074,2,230.00,0.00,2026-01-01T15:49:00Z
order_items-000075,OR-000075,1,PR-00075,1,236.00,5.00,2026-01-01T16:02:00Z
order_items-000076,OR-000076,1,PR-00076,2,202.00,5.00,2026-01-01T16:15:00Z
order_items-000077,OR-000077,1,PR-00077,4,99.00,1.00,2026-01-01T16:28:00Z
order_items-000078,OR-000078,1,PR-00078,4,91.00,2.00,2026-01-01T16:41:00Z
order_items-000079,OR-000079,1,PR-00079,2,67.00,3.00,2026-01-01T16:54:00Z
order_items-000080,OR-000080,1,PR-00080,4,198.00,7.00,2026-01-01T17:07:00Z
order_items-000081,OR-000081,1,PR-00081,3,113.00,6.00,2026-01-01T17:20:00Z
order_items-000082,OR-000082,1,PR-00082,2,198.00,3.00,2026-01-01T17:33:00Z
order_items-000083,OR-000083,1,PR-00083,4,148.00,7.00,2026-01-01T17:46:00Z
order_items-000084,OR-000084,1,PR-00084,4,285.00,7.00,2026-01-01T17:59:00Z
order_items-000085,OR-000085,1,PR-00085,1,51.00,7.00,2026-01-01T18:12:00Z
order_items-000086,OR-000086,1,PR-00086,3,84.00,7.00,2026-01-01T18:25:00Z
order_items-000087,OR-000087,1,PR-00087,2,204.00,0.00,2026-01-01T18:38:00Z
order_items-000088,OR-000088,1,PR-00088,3,127.00,7.00,2026-01-01T18:51:00Z
order_items-000089,OR-000089,1,PR-00089,1,41.00,8.00,2026-01-01T19:04:00Z
order_items-000090,OR-000090,1,PR-00090,3,137.00,7.00,2026-01-01T19:17:00Z
order_items-000091,OR-000091,1,PR-00091,2,80.00,1.00,2026-01-01T19:30:00Z
order_items-000092,OR-000092,1,PR-00092,3,150.00,0.00,2026-01-01T19:43:00Z
order_items-000093,OR-000093,1,PR-00093,4,86.00,1.00,2026-01-01T19:56:00Z
order_items-000094,OR-000094,1,PR-00094,2,17.00,0.00,2026-01-01T20:09:00Z
order_items-000095,OR-000095,1,PR-00095,2,212.00,5.00,2026-01-01T20:22:00Z
order_items-000096,OR-000096,1,PR-00096,3,72.00,6.00,2026-01-01T20:35:00Z
order_items-000097,OR-000097,1,PR-00097,1,13.00,7.00,2026-01-01T20:48:00Z
order_items-000098,OR-000098,1,PR-00098,1,245.00,0.00,2026-01-01T21:01:00Z
order_items-000099,OR-000099,1,PR-00099,3,155.00,4.00,2026-01-01T21:14:00Z
order_items-000100,OR-000100,1,PR-00100,3,23.00,4.00,2026-01-01T21:27:00Z
order_items-000101,OR-000101,1,PR-00101,1,194.00,7.00,2026-01-01T21:40:00Z
order_items-000102,OR-000102,1,PR-00102,4,199.00,10.00,2026-01-01T21:53:00Z
order_items-000103,OR-000103,1,PR-00103,4,126.00,8.00,2026-01-01T22:06:00Z
order_items-000104,OR-000104,1,PR-00104,1,223.00,7.00,2026-01-01T22:19:00Z
order_items-000105,OR-000105,1,PR-00105,1,191.00,0.00,2026-01-01T22:32:00Z
order_items-000106,OR-000106,1,PR-00106,4,96.00,5.00,2026-01-01T22:45:00Z
order_items-000107,OR-000107,1,PR-00107,4,114.00,7.00,2026-01-01T22:58:00Z
order_items-000108,OR-000108,1,PR-00108,2,254.00,7.00,2026-01-01T23:11:00Z
order_items-000109,OR-000109,1,PR-00109,3,44.00,2.00,2026-01-01T23:24:00Z
order_items-000110,OR-000110,1,PR-00110,2,221.00,4.00,2026-01-01T23:37:00Z
order_items-000111,OR-000111,1,PR-00111,3,6.00,5.00,2026-01-01T23:50:00Z
order_items-000112,OR-000112,1,PR-00112,2,271.00,3.00,2026-01-02T00:03:00Z
order_items-000113,OR-000113,1,PR-00113,3,52.00,4.00,2026-01-02T00:16:00Z
order_items-000114,OR-000114,1,PR-00114,3,94.00,8.00,2026-01-02T00:29:00Z
order_items-000115,OR-000115,1,PR-00115,2,45.00,6.00,2026-01-02T00:42:00Z
order_items-000116,OR-000116,1,PR-00116,4,155.00,1.00,2026-01-02T00:55:00Z
order_items-000117,OR-000117,1,PR-00117,3,256.00,5.00,2026-01-02T01:08:00Z
order_items-000118,OR-000118,1,PR-00118,2,242.00,4.00,2026-01-02T01:21:00Z
order_items-000119,OR-000119,1,PR-00119,1,193.00,1.00,2026-01-02T01:34:00Z
order_items-000120,OR-000120,1,PR-00120,1,17.00,10.00,2026-01-02T01:47:00Z
order_items-000121,OR-000121,1,PR-00121,3,53.00,9.00,2026-01-02T02:00:00Z
order_items-000122,OR-000122,1,PR-00122,3,197.00,2.00,2026-01-02T02:13:00Z
order_items-000123,OR-000123,1,PR-00123,3,274.00,0.00,2026-01-02T02:26:00Z
order_items-000124,OR-000124,1,PR-00124,2,69.00,8.00,2026-01-02T02:39:00Z
order_items-000125,OR-000125,1,PR-00125,4,151.00,7.00,2026-01-02T02:52:00Z
order_items-000126,OR-000126,1,PR-00126,3,156.00,8.00,2026-01-02T03:05:00Z
order_items-000127,OR-000127,1,PR-00127,2,63.00,2.00,2026-01-02T03:18:00Z
order_items-000128,OR-000128,1,PR-00128,1,162.00,2.00,2026-01-02T03:31:00Z
order_items-000129,OR-000129,1,PR-00129,3,257.00,7.00,2026-01-02T03:44:00Z
order_items-000130,OR-000130,1,PR-00130,2,138.00,2.00,2026-01-02T03:57:00Z
order_items-000131,OR-000131,1,PR-00131,1,211.00,9.00,2026-01-02T04:10:00Z
order_items-000132,OR-000132,1,PR-00132,1,138.00,3.00,2026-01-02T04:23:00Z
order_items-000133,OR-000133,1,PR-00133,1,220.00,3.00,2026-01-02T04:36:00Z
order_items-000134,OR-000134,1,PR-00134,2,236.00,1.00,2026-01-02T04:49:00Z
order_items-000135,OR-000135,1,PR-00135,3,5.00,5.00,2026-01-02T05:02:00Z
order_items-000136,OR-000136,1,PR-00136,1,138.00,0.00,2026-01-02T05:15:00Z
order_items-000137,OR-000137,1,PR-00137,2,176.00,9.00,2026-01-02T05:28:00Z
order_items-000138,OR-000138,1,PR-00138,1,204.00,4.00,2026-01-02T05:41:00Z
order_items-000139,OR-000139,1,PR-00139,3,35.00,5.00,2026-01-02T05:54:00Z
order_items-000140,OR-000140,1,PR-00140,3,64.00,7.00,2026-01-02T06:07:00Z
order_items-000141,OR-000141,1,PR-00141,1,99.00,9.00,2026-01-02T06:20:00Z
order_items-000142,OR-000142,1,PR-00142,1,145.00,5.00,2026-01-02T06:33:00Z
order_items-000143,OR-000143,1,PR-00143,3,177.00,2.00,2026-01-02T06:46:00Z
order_items-000144,OR-000144,1,PR-00144,3,236.00,8.00,2026-01-02T06:59:00Z
order_items-000145,OR-000145,1,PR-00145,2,25.00,5.00,2026-01-02T07:12:00Z
order_items-000146,OR-000146,1,PR-00146,4,10.00,9.00,2026-01-02T07:25:00Z
order_items-000147,OR-000147,1,PR-00147,3,134.00,10.00,2026-01-02T07:38:00Z
order_items-000148,OR-000148,1,PR-00148,4,251.00,10.00,2026-01-02T07:51:00Z
order_items-000149,OR-000149,1,PR-00149,1,119.00,7.00,2026-01-02T08:04:00Z
order_items-000150,OR-000150,1,PR-00150,1,206.00,9.00,2026-01-02T08:17:00Z
order_items-000151,OR-000151,1,PR-00001,3,283.00,2.00,2026-01-02T08:30:00Z
order_items-000152,OR-000152,1,PR-00002,3,66.00,4.00,2026-01-02T08:43:00Z
order_items-000153,OR-000153,1,PR-00003,3,40.00,1.00,2026-01-02T08:56:00Z
order_items-000154,OR-000154,1,PR-00004,2,176.00,7.00,2026-01-02T09:09:00Z
order_items-000155,OR-000155,1,PR-00005,4,29.00,4.00,2026-01-02T09:22:00Z
order_items-000156,OR-000156,1,PR-00006,2,141.00,9.00,2026-01-02T09:35:00Z
order_items-000157,OR-000157,1,PR-00007,2,215.00,9.00,2026-01-02T09:48:00Z
order_items-000158,OR-000158,1,PR-00008,1,74.00,8.00,2026-01-02T10:01:00Z
order_items-000159,OR-000159,1,PR-00009,3,37.00,8.00,2026-01-02T10:14:00Z
order_items-000160,OR-000160,1,PR-00010,2,87.00,2.00,2026-01-02T10:27:00Z
order_items-000161,OR-000161,1,PR-00011,3,164.00,7.00,2026-01-02T10:40:00Z
order_items-000162,OR-000162,1,PR-00012,1,248.00,9.00,2026-01-02T10:53:00Z
order_items-000163,OR-000163,1,PR-00013,1,234.00,3.00,2026-01-02T11:06:00Z
order_items-000164,OR-000164,1,PR-00014,2,202.00,1.00,2026-01-02T11:19:00Z
order_items-000165,OR-000165,1,PR-00015,2,238.00,3.00,2026-01-02T11:32:00Z
order_items-000166,OR-000166,1,PR-00016,1,194.00,4.00,2026-01-02T11:45:00Z
order_items-000167,OR-000167,1,PR-00017,3,89.00,5.00,2026-01-02T11:58:00Z
order_items-000168,OR-000168,1,PR-00018,1,71.00,3.00,2026-01-02T12:11:00Z
order_items-000169,OR-000169,1,PR-00019,2,144.00,2.00,2026-01-02T12:24:00Z
order_items-000170,OR-000170,1,PR-00020,3,132.00,4.00,2026-01-02T12:37:00Z
order_items-000171,OR-000171,1,PR-00021,1,211.00,10.00,2026-01-02T12:50:00Z
order_items-000172,OR-000172,1,PR-00022,3,229.00,9.00,2026-01-02T13:03:00Z
order_items-000173,OR-000173,1,PR-00023,2,73.00,2.00,2026-01-02T13:16:00Z
order_items-000174,OR-000174,1,PR-00024,2,285.00,7.00,2026-01-02T13:29:00Z
order_items-000175,OR-000175,1,PR-00025,2,63.00,4.00,2026-01-02T13:42:00Z
order_items-000176,OR-000176,1,PR-00026,3,213.00,2.00,2026-01-02T13:55:00Z
order_items-000177,OR-000177,1,PR-00027,4,23.00,7.00,2026-01-02T14:08:00Z
order_items-000178,OR-000178,1,PR-00028,4,232.00,5.00,2026-01-02T14:21:00Z
order_items-000179,OR-000179,1,PR-00029,3,38.00,1.00,2026-01-02T14:34:00Z
order_items-000180,OR-000180,1,PR-00030,2,228.00,4.00,2026-01-02T14:47:00Z
order_items-000181,OR-000181,1,PR-00031,4,76.00,10.00,2026-01-02T15:00:00Z
order_items-000182,OR-000182,1,PR-00032,3,207.00,7.00,2026-01-02T15:13:00Z
order_items-000183,OR-000183,1,PR-00033,3,211.00,9.00,2026-01-02T15:26:00Z
order_items-000184,OR-000184,1,PR-00034,4,168.00,3.00,2026-01-02T15:39:00Z
order_items-000185,OR-000185,1,PR-00035,3,10.00,6.00,2026-01-02T15:52:00Z
order_items-000186,OR-000186,1,PR-00036,4,254.00,10.00,2026-01-02T16:05:00Z
order_items-000187,OR-000187,1,PR-00037,1,18.00,6.00,2026-01-02T16:18:00Z
order_items-000188,OR-000188,1,PR-00038,4,257.00,4.00,2026-01-02T16:31:00Z
order_items-000189,OR-000189,1,PR-00039,2,289.00,9.00,2026-01-02T16:44:00Z
order_items-000190,OR-000190,1,PR-00040,2,261.00,9.00,2026-01-02T16:57:00Z
order_items-000191,OR-000191,1,PR-00041,3,204.00,10.00,2026-01-02T17:10:00Z
order_items-000192,OR-000192,1,PR-00042,2,25.00,10.00,2026-01-02T17:23:00Z
order_items-000193,OR-000193,1,PR-00043,3,110.00,2.00,2026-01-02T17:36:00Z
order_items-000194,OR-000194,1,PR-00044,2,147.00,0.00,2026-01-02T17:49:00Z
order_items-000195,OR-000195,1,PR-00045,1,106.00,5.00,2026-01-02T18:02:00Z
order_items-000196,OR-000196,1,PR-00046,3,176.00,10.00,2026-01-02T18:15:00Z
order_items-000197,OR-000197,1,PR-00047,2,237.00,2.00,2026-01-02T18:28:00Z
order_items-000198,OR-000198,1,PR-00048,1,45.00,6.00,2026-01-02T18:41:00Z
order_items-000199,OR-000199,1,PR-00049,1,83.00,8.00,2026-01-02T18:54:00Z
order_items-000200,OR-000200,1,PR-00050,4,194.00,10.00,2026-01-02T19:07:00Z
order_items-000201,OR-000201,1,PR-00051,2,252.00,5.00,2026-01-02T19:20:00Z
order_items-000202,OR-000202,1,PR-00052,4,245.00,4.00,2026-01-02T19:33:00Z
order_items-000203,OR-000203,1,PR-00053,2,22.00,5.00,2026-01-02T19:46:00Z
order_items-000204,OR-000204,1,PR-00054,4,124.00,2.00,2026-01-02T19:59:00Z
order_items-000205,OR-000205,1,PR-00055,4,59.00,2.00,2026-01-02T20:12:00Z
order_items-000206,OR-000206,1,PR-00056,1,66.00,0.00,2026-01-02T20:25:00Z
order_items-000207,OR-000207,1,PR-00057,4,184.00,6.00,2026-01-02T20:38:00Z
order_items-000208,OR-000208,1,PR-00058,4,5.00,0.00,2026-01-02T20:51:00Z
order_items-000209,OR-000209,1,PR-00059,2,19.00,10.00,2026-01-02T21:04:00Z
order_items-000210,OR-000210,1,PR-00060,4,54.00,9.00,2026-01-02T21:17:00Z
order_items-000211,OR-000211,1,PR-00061,2,58.00,10.00,2026-01-02T21:30:00Z
order_items-000212,OR-000212,1,PR-00062,2,32.00,7.00,2026-01-02T21:43:00Z
order_items-000213,OR-000213,1,PR-00063,3,67.00,7.00,2026-01-02T21:56:00Z
order_items-000214,OR-000214,1,PR-00064,3,114.00,1.00,2026-01-02T22:09:00Z
order_items-000215,OR-000215,1,PR-00065,4,119.00,1.00,2026-01-02T22:22:00Z
order_items-000216,OR-000216,1,PR-00066,1,95.00,3.00,2026-01-02T22:35:00Z
order_items-000217,OR-000217,1,PR-00067,1,196.00,7.00,2026-01-02T22:48:00Z
order_items-000218,OR-000218,1,PR-00068,4,137.00,4.00,2026-01-02T23:01:00Z
order_items-000219,OR-000219,1,PR-00069,2,71.00,1.00,2026-01-02T23:14:00Z
order_items-000220,OR-000220,1,PR-00070,1,116.00,8.00,2026-01-02T23:27:00Z
order_items-000221,OR-000221,1,PR-00071,2,14.00,2.00,2026-01-02T23:40:00Z
order_items-000222,OR-000222,1,PR-00072,3,49.00,2.00,2026-01-02T23:53:00Z
order_items-000223,OR-000223,1,PR-00073,1,205.00,7.00,2026-01-03T00:06:00Z
order_items-000224,OR-000224,1,PR-00074,3,87.00,8.00,2026-01-03T00:19:00Z
order_items-000225,OR-000225,1,PR-00075,3,66.00,7.00,2026-01-03T00:32:00Z
order_items-000226,OR-000226,1,PR-00076,3,263.00,8.00,2026-01-03T00:45:00Z
order_items-000227,OR-000227,1,PR-00077,2,270.00,5.00,2026-01-03T00:58:00Z
order_items-000228,OR-000228,1,PR-00078,1,153.00,8.00,2026-01-03T01:11:00Z
order_items-000229,OR-000229,1,PR-00079,4,58.00,4.00,2026-01-03T01:24:00Z
order_items-000230,OR-000230,1,PR-00080,3,175.00,6.00,2026-01-03T01:37:00Z
order_items-000231,OR-000231,1,PR-00081,3,213.00,4.00,2026-01-03T01:50:00Z
order_items-000232,OR-000232,1,PR-00082,1,248.00,1.00,2026-01-03T02:03:00Z
order_items-000233,OR-000233,1,PR-00083,2,253.00,7.00,2026-01-03T02:16:00Z
order_items-000234,OR-000234,1,PR-00084,4,23.00,10.00,2026-01-03T02:29:00Z
order_items-000235,OR-000235,1,PR-00085,2,46.00,3.00,2026-01-03T02:42:00Z
order_items-000236,OR-000236,1,PR-00086,1,217.00,1.00,2026-01-03T02:55:00Z
order_items-000237,OR-000237,1,PR-00087,2,183.00,6.00,2026-01-03T03:08:00Z
order_items-000238,OR-000238,1,PR-00088,3,242.00,4.00,2026-01-03T03:21:00Z
order_items-000239,OR-000239,1,PR-00089,2,235.00,1.00,2026-01-03T03:34:00Z
order_items-000240,OR-000240,1,PR-00090,1,107.00,3.00,2026-01-03T03:47:00Z
order_items-000241,OR-000241,1,PR-00091,3,149.00,6.00,2026-01-03T04:00:00Z
order_items-000242,OR-000242,1,PR-00092,3,294.00,0.00,2026-01-03T04:13:00Z
order_items-000243,OR-000243,1,PR-00093,2,270.00,4.00,2026-01-03T04:26:00Z
order_items-000244,OR-000244,1,PR-00094,1,184.00,6.00,2026-01-03T04:39:00Z
order_items-000245,OR-000245,1,PR-00095,2,139.00,0.00,2026-01-03T04:52:00Z
order_items-000246,OR-000246,1,PR-00096,1,49.00,6.00,2026-01-03T05:05:00Z
order_items-000247,OR-000247,1,PR-00097,3,43.00,4.00,2026-01-03T05:18:00Z
order_items-000248,OR-000248,1,PR-00098,4,211.00,1.00,2026-01-03T05:31:00Z
order_items-000249,OR-000249,1,PR-00099,2,19.00,9.00,2026-01-03T05:44:00Z
order_items-000250,OR-000250,1,PR-00100,1,185.00,9.00,2026-01-03T05:57:00Z
order_items-000251,OR-000251,1,PR-00101,4,100.00,6.00,2026-01-03T06:10:00Z
order_items-000252,OR-000252,1,PR-00102,3,226.00,6.00,2026-01-03T06:23:00Z
order_items-000253,OR-000253,1,PR-00103,2,119.00,2.00,2026-01-03T06:36:00Z
order_items-000254,OR-000254,1,PR-00104,4,146.00,6.00,2026-01-03T06:49:00Z
order_items-000255,OR-000255,1,PR-00105,2,276.00,2.00,2026-01-03T07:02:00Z
order_items-000256,OR-000256,1,PR-00106,2,187.00,2.00,2026-01-03T07:15:00Z
order_items-000257,OR-000257,1,PR-00107,3,43.00,9.00,2026-01-03T07:28:00Z
order_items-000258,OR-000258,1,PR-00108,1,215.00,9.00,2026-01-03T07:41:00Z
order_items-000259,OR-000259,1,PR-00109,1,281.00,2.00,2026-01-03T07:54:00Z
order_items-000260,OR-000260,1,PR-00110,4,254.00,4.00,2026-01-03T08:07:00Z
order_items-000261,OR-000261,1,PR-00111,1,300.00,0.00,2026-01-03T08:20:00Z
order_items-000262,OR-000262,1,PR-00112,4,137.00,5.00,2026-01-03T08:33:00Z
order_items-000263,OR-000263,1,PR-00113,2,195.00,4.00,2026-01-03T08:46:00Z
order_items-000264,OR-000264,1,PR-00114,1,189.00,6.00,2026-01-03T08:59:00Z
order_items-000265,OR-000265,1,PR-00115,1,201.00,4.00,2026-01-03T09:12:00Z
order_items-000266,OR-000266,1,PR-00116,4,250.00,4.00,2026-01-03T09:25:00Z
order_items-000267,OR-000267,1,PR-00117,4,219.00,0.00,2026-01-03T09:38:00Z
order_items-000268,OR-000268,1,PR-00118,2,135.00,3.00,2026-01-03T09:51:00Z
order_items-000269,OR-000269,1,PR-00119,3,235.00,2.00,2026-01-03T10:04:00Z
order_items-000270,OR-000270,1,PR-00120,3,56.00,0.00,2026-01-03T10:17:00Z
order_items-000271,OR-000271,1,PR-00121,2,131.00,3.00,2026-01-03T10:30:00Z
order_items-000272,OR-000272,1,PR-00122,4,281.00,4.00,2026-01-03T10:43:00Z
order_items-000273,OR-000273,1,PR-00123,3,145.00,9.00,2026-01-03T10:56:00Z
order_items-000274,OR-000274,1,PR-00124,1,82.00,7.00,2026-01-03T11:09:00Z
order_items-000275,OR-000275,1,PR-00125,2,263.00,9.00,2026-01-03T11:22:00Z
order_items-000276,OR-000276,1,PR-00126,1,17.00,7.00,2026-01-03T11:35:00Z
order_items-000277,OR-000277,1,PR-00127,3,297.00,10.00,2026-01-03T11:48:00Z
order_items-000278,OR-000278,1,PR-00128,4,102.00,8.00,2026-01-03T12:01:00Z
order_items-000279,OR-000279,1,PR-00129,1,198.00,10.00,2026-01-03T12:14:00Z
order_items-000280,OR-000280,1,PR-00130,3,136.00,5.00,2026-01-03T12:27:00Z
order_items-000281,OR-000281,1,PR-00131,2,32.00,5.00,2026-01-03T12:40:00Z
order_items-000282,OR-000282,1,PR-00132,3,54.00,4.00,2026-01-03T12:53:00Z
order_items-000283,OR-000283,1,PR-00133,1,130.00,10.00,2026-01-03T13:06:00Z
order_items-000284,OR-000284,1,PR-00134,1,86.00,9.00,2026-01-03T13:19:00Z
order_items-000285,OR-000285,1,PR-00135,4,128.00,9.00,2026-01-03T13:32:00Z
order_items-000286,OR-000286,1,PR-00136,4,253.00,3.00,2026-01-03T13:45:00Z
order_items-000287,OR-000287,1,PR-00137,1,18.00,0.00,2026-01-03T13:58:00Z
order_items-000288,OR-000288,1,PR-00138,1,274.00,5.00,2026-01-03T14:11:00Z
order_items-000289,OR-000289,1,PR-00139,2,81.00,5.00,2026-01-03T14:24:00Z
order_items-000290,OR-000290,1,PR-00140,4,43.00,1.00,2026-01-03T14:37:00Z
order_items-000291,OR-000291,1,PR-00141,1,225.00,5.00,2026-01-03T14:50:00Z
order_items-000292,OR-000292,1,PR-00142,3,14.00,5.00,2026-01-03T15:03:00Z
order_items-000293,OR-000293,1,PR-00143,2,142.00,1.00,2026-01-03T15:16:00Z
order_items-000294,OR-000294,1,PR-00144,4,187.00,6.00,2026-01-03T15:29:00Z
order_items-000295,OR-000295,1,PR-00145,4,64.00,3.00,2026-01-03T15:42:00Z
order_items-000296,OR-000296,1,PR-00146,4,265.00,8.00,2026-01-03T15:55:00Z
order_items-000297,OR-000297,1,PR-00147,2,67.00,7.00,2026-01-03T16:08:00Z
order_items-000298,OR-000298,1,PR-00148,1,238.00,2.00,2026-01-03T16:21:00Z
order_items-000299,OR-000299,1,PR-00149,1,218.00,9.00,2026-01-03T16:34:00Z
order_items-000300,OR-000300,1,PR-00150,4,69.00,8.00,2026-01-03T16:47:00Z
order_items-000301,OR-000301,1,PR-00001,2,9.00,5.00,2026-01-03T17:00:00Z
order_items-000302,OR-000302,1,PR-00002,3,280.00,10.00,2026-01-03T17:13:00Z
