source_row_id,customer_id,segment,region,loyalty_tier,signup_date,status,updated_at
customers-000086,RC-00086,consumer,south,gold,2026-01-24,active,2026-01-02T00:05:00Z
customers-000087,RC-00087,small_business,east,silver,2026-01-25,active,2026-01-02T00:22:00Z
customers-000088,RC-00088,consumer,north,silver,2026-01-26,active,2026-01-02T00:39:00Z
customers-000089,RC-00089,consumer,north,standard,2026-01-27,active,2026-01-02T00:56:00Z
customers-000090,RC-00090,consumer,west,silver,2026-01-28,active,2026-01-02T01:13:00Z
customers-000091,RC-00091,small_business,west,standard,2026-01-29,active,2026-01-02T01:30:00Z
customers-000092,RC-00092,consumer,south,standard,2026-01-30,active,2026-01-02T01:47:00Z
customers-000093,RC-00093,small_business,north,gold,2026-01-31,active,2026-01-02T02:04:00Z
customers-000094,RC-00094,consumer,west,silver,2026-01-01,active,2026-01-02T02:21:00Z
customers-000095,RC-00095,small_business,north,silver,2026-01-02,active,2026-01-02T02:38:00Z
customers-000096,RC-00096,small_business,east,gold,2026-01-03,active,2026-01-02T02:55:00Z
customers-000097,RC-00097,small_business,west,silver,2026-01-04,active,2026-01-02T03:12:00Z
customers-000098,RC-00098,consumer,west,silver,2026-01-05,active,2026-01-02T03:29:00Z
customers-000099,RC-00099,consumer,south,silver,2026-01-06,active,2026-01-02T03:46:00Z
customers-000100,RC-00100,small_business,west,silver,2026-01-07,active,2026-01-02T04:03:00Z
customers-000101,RC-00101,small_business,east,gold,2026-01-08,active,2026-01-02T04:20:00Z
customers-000102,RC-00102,consumer,south,gold,2026-01-09,active,2026-01-02T04:37:00Z
customers-000103,RC-00103,small_business,west,gold,2026-01-10,active,2026-01-02T04:54:00Z
customers-000104,RC-00104,consumer,east,gold,2026-01-11,active,2026-01-02T05:11:00Z
customers-000105,RC-00105,small_business,south,gold,2026-01-12,active,2026-01-02T05:28:00Z
customers-000106,RC-00106,small_business,south,gold,2026-01-13,active,2026-01-02T05:45:00Z
customers-000107,RC-00107,small_business,east,standard,2026-01-14,active,2026-01-02T06:02:00Z
customers-000108,RC-00108,consumer,north,standard,2026-01-15,active,2026-01-02T06:19:00Z
customers-000109,RC-00109,consumer,south,silver,2026-01-16,active,2026-01-02T06:36:00Z
customers-000110,RC-00110,consumer,south,gold,2026-01-17,active,2026-01-02T06:53:00Z
customers-000111,RC-00111,consumer,south,silver,2026-01-18,active,2026-01-02T07:10:00Z
customers-000112,RC-00112,small_business,east,gold,2026-01-19,active,2026-01-02T07:27:00Z
customers-000113,RC-00113,small_business,north,silver,2026-01-20,active,2026-01-02T07:44:00Z
customers-000114,RC-00114,small_business,east,silver,2026-01-21,active,2026-01-02T08:01:00Z
customers-000115,RC-00115,small_business,west,standard,2026-01-22,active,2026-01-02T08:18:00Z
customers-000116,RC-00116,small_business,west,silver,2026-01-23,active,2026-01-02T08:35:00Z
customers-000117,RC-00117,small_business,south,silver,2026-01-24,active,2026-01-02T08:52:00Z
customers-000118,RC-00118,small_business,west,gold,2026-01-25,active,2026-01-02T09:09:00Z
customers-000119,RC-00119,consumer,south,gold,2026-01-26,active,2026-01-02T09:26:00Z
customers-000120,RC-00120,consumer,north,gold,2026-01-27,active,2026-01-02T09:43:00Z
customers-000121,RC-00121,consumer,south,silver,2026-01-28,active,2026-01-02T10:00:00Z
customers-000122,RC-00122,small_business,south,silver,2026-01-29,active,2026-01-02T10:17:00Z
customers-000123,RC-00123,small_business,south,gold,2026-01-30,active,2026-01-02T10:34:00Z
customers-000124,RC-00124,consumer,west,gold,2026-01-31,active,2026-01-02T10:51:00Z
customers-000125,RC-00125,consumer,east,silver,2026-01-01,active,2026-01-02T11:08:00Z
customers-000126,RC-00126,small_business,west,silver,2026-01-02,active,2026-01-02T11:25:00Z
customers-000127,RC-00127,consumer,south,gold,2026-01-03,active,2026-01-02T11:42:00Z
customers-000128,RC-00128,consumer,east,gold,2026-01-04,active,2026-01-02T11:59:00Z
customers-000129,RC-00129,consumer,east,silver,2026-01-05,active,2026-01-02T12:16:00Z
customers-000130,RC-00130,consumer,west,standard,2026-01-06,active,2026-01-02T12:33:00Z
customers-000131,RC-00131,small_business,east,gold,2026-01-07,active,2026-01-02T12:50:00Z
customers-000132,RC-00132,small_business,south,gold,2026-01-08,active,2026-01-02T13:07:00Z
customers-000133,RC-00133,consumer,east,silver,2026-01-09,active,2026-01-02T13:24:00Z
customers-000134,RC-00134,small_business,north,standard,2026-01-10,active,2026-01-02T13:41:00Z
customers-000135,RC-00135,small_business,west,standard,2026-01-11,active,2026-01-02T13:58:00Z
customers-000136,RC-00136,consumer,north,silver,2026-01-12,active,2026-01-02T14:15:00Z
customers-000137,RC-00137,consumer,north,gold,2026-01-13,active,2026-01-02T14:32:00Z
customers-000138,RC-00138,small_business,south,gold,2026-01-14,active,2026-01-02T14:49:00Z
customers-000139,RC-00139,small_business,east,silver,2026-01-15,active,2026-01-02T15:06:00Z
customers-000140,RC-00140,consumer,east,gold,2026-01-16,active,2026-01-02T15:23:00Z
customers-000141,RC-00141,consumer,south,standard,2026-01-17,active,2026-01-02T15:40:00Z
customers-000142,RC-00142,consumer,west,standard,2026-01-18,active,2026-01-02T15:57:00Z
customers-000143,RC-00143,small_business,east,silver,2026-01-19,active,2026-01-02T16:14:00Z
customers-000144,RC-00144,small_business,west,standard,2026-01-20,active,2026-01-02T16:31:00Z
customers-000145,RC-00145,consumer,west,standard,2026-01-21,active,2026-01-02T16:48:00Z
customers-000146,RC-00146,consumer,west,silver,2026-01-22,active,2026-01-02T17:05:00Z
customers-000147,RC-00147,consumer,west,silver,2026-01-23,active,2026-01-02T17:22:00Z
customers-000148,RC-00148,small_business,west,standard,2026-01-24,active,2026-01-02T17:39:00Z
customers-000149,RC-00149,consumer,south,standard,2026-01-25,active,2026-01-02T17:56:00Z
customers-000150,RC-00150,consumer,west,standard,2026-01-26,active,2026-01-02T18:13:00Z
customers-000151,RC-00151,consumer,north,standard,2026-01-27,active,2026-01-02T18:30:00Z
customers-000152,RC-00152,small_business,south,silver,2026-01-28,active,2026-01-02T18:47:00Z
customers-000153,RC-00153,consumer,north,silver,2026-01-29,active,2026-01-02T19:04:00Z
customers-000154,RC-00154,small_business,west,gold,2026-01-30,active,2026-01-02T19:21:00Z
customers-000155,RC-00155,small_business,north,standard,2026-01-31,active,2026-01-02T19:38:00Z
customers-000156,RC-00156,small_business,south,gold,2026-01-01,active,2026-01-02T19:55:00Z
customers-000157,RC-00157,small_business,north,gold,2026-01-02,active,2026-01-02T20:12:00Z
customers-000158,RC-00158,consumer,west,gold,2026-01-03,active,2026-01-02T20:29:00Z
customers-000159,RC-00159,consumer,north,silver,2026-01-04,active,2026-01-02T20:46:00Z
customers-000160,RC-00160,small_business,west,silver,2026-01-05,active,2026-01-02T21:03:00Z
customers-000161,RC-00161,consumer,north,gold,2026-01-06,active,2026-01-02T21:20:00Z
customers-000162,RC-00162,consumer,north,standard,2026-01-07,active,2026-01-02T21:37:00Z
customers-000163,RC-00163,consumer,west,standard,2026-01-08,active,2026-01-02T21:54:00Z
customers-000164,RC-00164,consumer,north,standard,2026-01-09,active,2026-01-02T22:11:00Z
customers-000165,RC-00165,consumer,west,silver,2026-01-10,active,2026-01-02T22:28:00Z
customers-000166,RC-00166,consumer,west,silver,2026-01-11,active,2026-01-02T22:45:00Z
customers-000167,RC-00167,consumer,north,standard,2026-01-12,active,2026-01-02T23:02:00Z
customers-000168,RC-00168,consumer,west,silver,2026-01-13,active,2026-01-02T23:19:00Z
customers-000169,RC-00169,small_business,east,standard,2026-01-14,active,2026-01-02T23:36:00Z
customers-000170,RC-00170,small_business,west,silver,2026-01-15,active,2026-01-02T23:53:00Z
customers-000171,RC-00171,small_business,south,gold,2026-01-16,active,2026-01-03T00:10:00Z
customers-000172,RC-00172,consumer,south,silver,2026-01-17,active,2026-01-03T00:27:00Z
customers-000173,RC-00173,small_business,north,gold,2026-01-18,active,2026-01-03T00:44:00Z
customers-000174,RC-00174,small_business,west,standard,2026-01-19,active,2026-01-03T01:01:00Z
customers-000175,RC-00175,small_business,north,silver,2026-01-20,active,2026-01-03T01:18:00Z
customers-000176,RC-00176,consumer,west,standard,2026-01-21,active,2026-01-03T01:35:00Z
customers-000177,RC-00177,consumer,east,gold,2026-01-22,active,2026-01-03T01:52:00Z
customers-000178,RC-00178,small_business,east,standard,2026-01-23,active,2026-01-03T02:09:00Z
customers-000179,RC-00179,consumer,west,standard,2026-01-24,active,2026-01-03T02:26:00Z
customers-000180,RC-00180,consumer,north,silver,2026-01-25,active,2026-01-03T02:43:00Z
customers-000181,RC-00181,consumer,west,gold,2026-01-26,active,2026-01-03T03:00:00Z
customers-000182,RC-00182,small_business,east,silver,2026-01-27,active,2026-01-03T03:17:00Z
customers-000183,RC-00183,consumer,north,silver,2026-01-28,active,2026-01-03T03:34:00Z
customers-000184,RC-00184,consumer,west,silver,2026-01-29,active,2026-01-03T03:51:00Z
customers-000185,RC-00185,consumer,west,gold,2026-01-30,active,2026-01-03T04:08:00Z
customers-000186,RC-00186,small_business,north,silver,2026-01-31,active,2026-01-03T04:25:00Z
customers-000187,RC-00187,small_business,north,standard,2026-01-01,active,2026-01-03T04:42:00Z
customers-000188,RC-00188,consumer,north,gold,2026-01-02,active,2026-01-03T04:59:00Z
customers-000189,RC-00189,small_business,south,standard,2026-01-03,active,2026-01-03T05:16:00Z
customers-000190,RC-00190,consumer,west,gold,2026-01-04,active,2026-01-03T05:33:00Z
customers-000191,RC-00191,small_business,north,silver,2026-01-05,active,2026-01-03T05:50:00Z
customers-000192,RC-00192,small_business,west,gold,2026-01-06,active,2026-01-03T06:07:00Z
customers-000193,RC-00193,consumer,east,silver,2026-01-07,active,2026-01-03T06:24:00Z
customers-000194,RC-00194,consumer,north,silver,2026-01-08,active,2026-01-03T06:41:00Z
customers-000195,RC-00195,consumer,south,silver,2026-01-09,active,2026-01-03T06:58:00Z
customers-000196,RC-00196,consumer,west,silver,2026-01-10,active,2026-01-03T07:15:00Z
customers-000197,RC-00197,consumer,north,standard,2026-01-11,active,2026-01-03T07:32:00Z
customers-000198,RC-00198,consumer,south,gold,2026-01-12,active,2026-01-03T07:49:00Z
customers-000199,RC-00199,small_business,west,silver,2026-01-13,active,2026-01-03T08:06:00Z
customers-000200,RC-00200,consumer,east,standard,2026-01-14,active,2026-01-03T08:23:00Z
customers-000201,RC-00201,small_business,south,silver,2026-01-15,active,2026-01-03T08:40:00Z
customers-000202,RC-00202,small_business,north,silver,2026-01-16,active,2026-01-03T08:57:00Z
customers-000203,RC-00203,consumer,east,standard,2026-01-17,active,2026-01-03T09:14:00Z
customers-000204,RC-00204,consumer,north,standard,2026-01-18,active,2026-01-03T09:31:00Z
customers-000205,RC-00205,small_business,north,standard,2026-01-19,active,2026-01-03T09:48:00Z
customers-000206,RC-00206,small_business,north,gold,2026-01-20,active,2026-01-03T10:05:00Z
customers-000207,RC-00207,consumer,west,gold,2026-01-21,active,2026-01-03T10:22:00Z
customers-000208,RC-00208,consumer,north,gold,2026-01-22,active,2026-01-03T10:39:00Z
customers-000209,RC-00209,small_business,east,gold,2026-01-23,active,2026-01-03T10:56:00Z
customers-000210,RC-00210,consumer,west,gold,2026-01-24,active,2026-01-03T11:13:00Z
customers-000211,RC-00211,small_business,west,silver,2026-01-25,active,2026-01-03T11:30:00Z
customers-000212,RC-00212,small_business,east,standard,2026-01-26,active,2026-01-03T11:47:00Z
customers-000213,RC-00213,consumer,west,standard,2026-01-27,active,2026-01-03T12:04:00Z
customers-000214,RC-00214,small_business,south,gold,2026-01-28,active,2026-01-03T12:21:00Z
customers-000215,RC-00215,consumer,east,standard,2026-01-29,active,2026-01-03T12:38:00Z
customers-000216,RC-00216,small_business,north,standard,2026-01-30,active,2026-01-03T12:55:00Z
customers-000217,RC-00217,consumer,north,standard,2026-01-31,active,2026-01-03T13:12:00Z
customers-000218,RC-00218,consumer,south,standard,2026-01-01,active,2026-01-03T13:29:00Z
customers-000219,RC-00219,small_business,east,standard,2026-01-02,active,2026-01-03T13:46:00Z
customers-000220,RC-00220,consumer,south,standard,2026-01-03,active,2026-01-03T14:03:00Z
customers-000221,RC-00221,consumer,east,standard,2026-01-04,active,2026-01-03T14:20:00Z
customers-000222,RC-00222,consumer,south,silver,2026-01-05,active,2026-01-03T14:37:00Z
customers-000223,RC-00223,consumer,south,silver,2026-01-06,active,2026-01-03T14:54:00Z
customers-000224,RC-00224,small_business,east,gold,2026-01-07,active,2026-01-03T15:11:00Z
customers-000225,RC-00225,small_business,east,standard,2026-01-08,active,2026-01-03T15:28:00Z
customers-000226,RC-00226,consumer,north,standard,2026-01-09,active,2026-01-03T15:45:00Z
customers-000227,RC-00227,small_business,south,standard,2026-01-10,active,2026-01-03T16:02:00Z
customers-000228,RC-00228,consumer,east,silver,2026-01-11,active,2026-01-03T16:19:00Z
customers-000229,RC-00229,small_business,south,standard,2026-01-12,active,2026-01-03T16:36:00Z
customers-000230,RC-00230,consumer,south,standard,2026-01-13,active,2026-01-03T16:53:00Z
customers-000231,RC-00231,small_business,south,standard,2026-01-14,active,2026-01-03T17:10:00Z
customers-000232,RC-00232,consumer,east,gold,2026-01-15,active,2026-01-03T17:27:00Z
customers-000233,RC-00233,small_business,south,standard,2026-01-16,active,2026-01-03T17:44:00Z
customers-000234,RC-00234,consumer,west,gold,2026-01-17,active,2026-01-03T18:01:00Z
customers-000235,RC-00235,small_business,west,gold,2026-01-18,active,2026-01-03T18:18:00Z
customers-000236,RC-00236,consumer,south,silver,2026-01-19,active,2026-01-03T18:35:00Z
customers-000237,RC-00237,small_business,east,gold,2026-01-20,active,2026-01-03T18:52:00Z
customers-000238,RC-00238,consumer,north,gold,2026-01-21,active,2026-01-03T19:09:00Z
customers-000239,RC-00239,small_business,west,gold,2026-01-22,active,2026-01-03T19:26:00Z
customers-000240,RC-00240,consumer,east,gold,2026-01-23,active,2026-01-03T19:43:00Z
customers-000241,RC-00241,consumer,south,silver,2026-01-24,active,2026-01-03T20:00:00Z
customers-000242,RC-00242,consumer,east,gold,2026-01-25,active,2026-01-03T20:17:00Z
customers-000243,RC-00243,small_business,west,gold,2026-01-26,active,2026-01-03T20:34:00Z
customers-000244,RC-00244,small_business,south,silver,2026-01-27,active,2026-01-03T20:51:00Z
customers-000245,RC-00245,small_business,west,silver,2026-01-28,active,2026-01-03T21:08:00Z
customers-000246,RC-00246,consumer,east,standard,2026-01-29,active,2026-01-03T21:25:00Z
customers-000247,RC-00247,small_business,north,silver,2026-01-30,active,2026-01-03T21:42:00Z
customers-000248,RC-00248,small_business,east,gold,2026-01-31,active,2026-01-03T21:59:00Z
customers-000249,RC-00249,small_business,east,gold,2026-01-01,active,2026-01-03T22:16:00Z
customers-000250,RC-00250,consumer,east,gold,2026-01-02,active,2026-01-03T22:33:00Z
customers-000251,RC-00251,consumer,south,gold,2026-01-03,active,2026-01-03T22:50:00Z
customers-000252,RC-00252,small_business,east,silver,2026-01-04,active,2026-01-03T23:07:00Z
customers-000253,RC-00253,consumer,west,standard,2026-01-05,active,2026-01-03T23:24:00Z
customers-000254,RC-00254,consumer,north,silver,2026-01-06,active,2026-01-03T23:41:00Z
customers-000255,RC-00255,small_business,east,standard,2026-01-07,active,2026-01-03T23:58:00Z
customers-000256,RC-00256,small_business,north,gold,2026-01-08,active,2026-01-04T00:15:00Z
customers-000257,RC-00257,consumer,west,gold,2026-01-09,active,2026-01-04T00:32:00Z
customers-000258,RC-00258,small_business,west,silver,2026-01-10,active,2026-01-04T00:49:00Z
customers-000259,RC-00259,consumer,west,gold,2026-01-11,active,2026-01-04T01:06:00Z
customers-000260,RC-00260,small_business,north,standard,2026-01-12,active,2026-01-04T01:23:00Z
customers-000261,RC-00261,consumer,north,standard,2026-01-13,active,2026-01-04T01:40:00Z
customers-000262,RC-00262,consumer,south,standard,2026-01-14,active,2026-01-04T01:57:00Z
customers-000263,RC-00263,consumer,south,silver,2026-01-15,active,2026-01-04T02:14:00Z
customers-000264,RC-00264,consumer,north,standard,2026-01-16,active,2026-01-04T02:31:00Z
customers-000265,RC-00265,small_business,east,gold,2026-01-17,active,2026-01-04T02:48:00Z
customers-000266,RC-00266,consumer,east,gold,2026-01-18,active,2026-01-04T03:05:00Z
customers-000267,RC-00267,consumer,north,gold,2026-01-19,active,2026-01-04T03:22:00Z
customers-000268,RC-00268,consumer,south,gold,2026-01-20,active,2026-01-04T03:39:00Z
customers-000269,RC-00269,consumer,east,standard,2026-01-21,active,2026-01-04T03:56:00Z
customers-000270,RC-00270,small_business,north,silver,2026-01-22,active,2026-01-04T04:13:00Z
customers-000271,RC-00271,consumer,west,gold,2026-01-23,active,2026-01-04T04:30:00Z
customers-000272,RC-00272,consumer,north,gold,2026-01-24,active,2026-01-04T04:47:00Z
customers-000273,RC-00273,consumer,south,standard,2026-01-25,active,2026-01-04T05:04:00Z
customers-000274,RC-00274,consumer,north,silver,2026-01-26,active,2026-01-04T05:21:00Z
customers-000275,RC-00275,small_business,south,silver,2026-01-27,active,2026-01-04T05:38:00Z
customers-000276,RC-00276,small_business,north,silver,2026-01-28,active,2026-01-04T05:55:00Z
customers-000277,RC-00277,consumer,east,silver,2026-01-29,active,2026-01-04T06:12:00Z
customers-000278,RC-00278,consumer,east,standard,2026-01-30,active,2026-01-04T06:29:00Z
customers-000279,RC-00279,small_business,east,gold,2026-01-31,active,2026-01-04T06:46:00Z
customers-000280,RC-00280,consumer,south,silver,2026-01-01,active,2026-01-04T07:03:00Z
customers-000281,RC-00281,consumer,north,gold,2026-01-02,active,2026-01-04T07:20:00Z
customers-000282,RC-00282,consumer,south,silver,2026-01-03,active,2026-01-04T07:37:00Z
customers-000283,RC-00283,consumer,west,silver,2026-01-04,active,2026-01-04T07:54:00Z
customers-000284,RC-00284,small_business,south,gold,2026-01-05,active,2026-01-04T08:11:00Z
customers-000285,RC-00285,small_business,west,gold,2026-01-06,active,2026-01-04T08:28:00Z
customers-000286,RC-00286,small_business,west,silver,2026-01-07,active,2026-01-04T08:45:00Z
customers-000287,RC-00287,consumer,north,silver,2026-01-08,active,2026-01-04T09:02:00Z
customers-000288,RC-00288,consumer,west,silver,2026-01-09,active,2026-01-04T09:19:00Z
customers-000289,RC-00289,consumer,north,silver,2026-01-10,active,2026-01-04T09:36:00Z
customers-000290,RC-00290,small_business,east,silver,2026-01-11,active,2026-01-04T09:53:00Z
customers-000291,RC-00291,small_business,east,silver,2026-01-12,active,2026-01-04T10:10:00Z
customers-000292,RC-00292,consumer,west,silver,2026-01-13,active,2026-01-04T10:27:00Z
customers-000293,RC-00293,consumer,south,standard,2026-01-14,active,2026-01-04T10:44:00Z
customers-000294,RC-00294,small_business,west,silver,2026-01-15,active,2026-01-04T11:01:00Z
customers-000295,RC-00295,consumer,south,gold,2026-01-16,active,2026-01-04T11:18:00Z
customers-000296,RC-00296,small_business,east,silver,2026-01-17,active,2026-01-04T11:35:00Z
customers-000297,RC-00297,small_business,east,standard,2026-01-18,active,2026-01-04T11:52:00Z
customers-000298,RC-00298,consumer,east,standard,2026-01-19,active,2026-01-04T12:09:00Z
customers-000299,RC-00299,small_business,east,standard,2026-01-20,active,2026-01-04T12:26:00Z
customers-000300,RC-00299,small_business,east,gold,2026-01-21,active,2026-01-04T12:43:00Z
